tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,7600.0,450.0,0.0,100,3,3,7947.0,320.0,3250,1,ARRIVAL,0,0,0,0,0,armor-plate:464:7949:367:62:91|heat-vent:100:8125:406:54:63|core:3250:8021:382:96:82,entry,arrival
0,BOSS_FIGHT,7605.0,450.0,-13.0,100,3,3,7947.0,320.0,3250,1,READY,0,0,0,0,0,armor-plate:464:7949:367:62:91|heat-vent:100:8125:406:54:63|core:3250:8021:382:96:82,armor-plate,aim:armor-plate:jump
63,BOSS_FIGHT,7800.0,320.8,-2.8,100,3,3,7947.0,320.0,3226,1,DRILL_CHARGE,80,0,0,0,0,armor-plate:439:7949:367:62:91|heat-vent:100:8125:406:54:63|core:3226:8021:382:96:82,armor-plate,aim:armor-plate
120,BOSS_FIGHT,7550.0,339.0,5.0,100,3,3,7947.0,320.0,3217,1,DRILL_CHARGE,24,0,0,0,0,armor-plate:414:7949:367:62:91|heat-vent:100:8125:406:54:63|core:3217:8021:382:96:82,armor-plate,evade:DRILL_CHARGE
168,BOSS_FIGHT,7520.0,373.0,8.0,100,3,3,7582.0,320.0,3217,1,COOLING,0,0,0,0,0,armor-plate:414:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3217:7656:382:96:82,armor-plate,aim:armor-plate
240,BOSS_FIGHT,7450.0,317.0,-1.6,100,3,3,7582.0,320.0,3199,1,COOLING,0,0,0,0,0,armor-plate:364:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3199:7656:382:96:82,armor-plate,aim:armor-plate
286,BOSS_FIGHT,7445.0,315.6,-0.4,100,3,3,7582.0,320.0,3190,1,MAGMA_MORTAR,100,0,0,0,0,armor-plate:339:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3190:7656:382:96:82,armor-plate,aim:armor-plate
360,BOSS_FIGHT,7625.0,384.6,-9.4,100,3,3,7582.0,320.0,3118,1,MAGMA_MORTAR,29,0,0,0,0,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3118:7656:382:96:82,armor-plate,evade:MAGMA_MORTAR
390,BOSS_FIGHT,7625.0,373.0,8.0,95,3,3,7582.0,320.0,3088,1,MAGMA_MORTAR,0,0,0,0,3,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3088:7656:382:96:82,armor-plate,damage:evade:MAGMA_MORTAR
448,BOSS_FIGHT,7625.0,384.6,-9.4,95,3,3,7582.0,320.0,3028,1,COOLING,0,0,0,0,0,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3028:7656:382:96:82,armor-plate,evade:MAGMA_MORTAR
451,BOSS_FIGHT,7610.0,360.0,-7.6,90,3,3,7582.0,320.0,3028,1,COOLING,0,0,0,0,0,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3028:7656:382:96:82,armor-plate,damage:aim:armor-plate
480,BOSS_FIGHT,7465.0,400.6,9.8,90,3,3,7582.0,320.0,3028,1,COOLING,0,0,0,0,0,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3028:7656:382:96:82,armor-plate,aim:armor-plate
600,BOSS_FIGHT,7445.0,334.0,4.4,90,3,3,7582.0,320.0,3028,1,COOLING,0,0,0,0,0,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3028:7656:382:96:82,armor-plate,aim:armor-plate
720,BOSS_FIGHT,7445.0,316.0,-1.0,90,3,3,7582.0,320.0,3028,1,COOLING,0,0,0,0,0,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3028:7656:382:96:82,armor-plate,aim:armor-plate
743,BOSS_FIGHT,7450.0,450.0,-13.0,90,3,3,7582.0,320.0,3028,1,DRILL_CHARGE,80,0,0,0,0,armor-plate:264:7584:367:62:91|heat-vent:100:7760:406:54:63|core:3028:7656:382:96:82,armor-plate,aim:armor-plate:double-jump
