tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,7600.0,450.0,0.0,100,3,3,7917.0,260.0,4000,1,ARRIVAL,0,0,0,0,0,left-organ:400:7917:383:64:87|right-organ:400:8123:383:64:87|core:4000:8005:304:94:128,entry,arrival
0,BOSS_FIGHT,7605.0,450.0,0.0,100,3,3,7917.0,260.0,4000,1,READY,0,0,0,0,0,left-organ:400:7917:383:64:87|right-organ:400:8123:383:64:87|core:4000:8005:304:94:128,left-organ,aim:left-organ
64,BOSS_FIGHT,7770.0,450.0,0.0,100,3,3,7917.0,260.0,3973,1,SPORE_FAN,80,0,0,0,0,left-organ:300:7917:383:64:87|right-organ:400:8123:383:64:87|core:3973:8005:304:94:128,left-organ,aim:left-organ
120,BOSS_FIGHT,7770.0,450.0,0.0,100,3,3,7917.0,260.0,3952,1,SPORE_FAN,27,0,0,0,0,left-organ:225:7917:383:64:87|right-organ:400:8123:383:64:87|core:3952:8005:304:94:128,left-organ,aim:left-organ
151,BOSS_FIGHT,7770.0,450.0,0.0,100,3,3,7917.0,260.0,3932,1,READY,0,0,0,0,8,left-organ:150:7917:383:64:87|right-organ:400:8123:383:64:87|core:3932:8005:304:94:128,left-organ,aim:left-organ
227,BOSS_FIGHT,7780.0,340.8,-5.8,100,3,3,7917.0,260.0,3918,1,LEFT_TENDRIL,82,0,0,0,6,left-organ:100:7917:383:64:87|right-organ:400:8123:383:64:87|core:3918:8005:304:94:128,left-organ,aim:left-organ
240,BOSS_FIGHT,7715.0,320.0,2.0,100,3,3,7917.0,260.0,3918,1,LEFT_TENDRIL,69,0,0,0,3,left-organ:100:7917:383:64:87|right-organ:400:8123:383:64:87|core:3918:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
319,BOSS_FIGHT,7715.0,450.0,0.0,100,3,3,7917.0,260.0,3890,1,READY,0,0,0,0,2,left-organ:0:7917:383:64:87|right-organ:400:8123:383:64:87|core:3890:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
360,BOSS_FIGHT,7895.0,450.0,0.0,100,3,3,7917.0,260.0,3883,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:375:8123:383:64:87|core:3883:8005:304:94:128,right-organ,aim:right-organ
374,BOSS_FIGHT,7960.0,450.0,0.0,95,3,3,7917.0,260.0,3876,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:350:8123:383:64:87|core:3876:8005:304:94:128,right-organ,damage:aim:right-organ
391,BOSS_FIGHT,7975.0,450.0,0.0,95,3,3,7917.0,260.0,3869,1,HATCH,95,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:325:8123:383:64:87|core:3869:8005:304:94:128,right-organ,aim:right-organ
480,BOSS_FIGHT,7975.0,450.0,0.0,95,3,3,7917.0,260.0,3828,1,HATCH,12,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3828:8005:304:94:128,right-organ,aim:right-organ
492,BOSS_FIGHT,7975.0,450.0,0.0,90,3,3,7917.0,260.0,3828,1,HATCH,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3828:8005:304:94:128,right-organ,damage:aim:right-organ
493,BOSS_FIGHT,7975.0,450.0,0.0,90,3,3,7917.0,260.0,3828,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3828:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
556,BOSS_FIGHT,7980.0,450.0,0.0,85,3,3,7917.0,260.0,3828,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3828:8005:304:94:128,right-organ,damage:aim:right-organ
572,BOSS_FIGHT,7980.0,450.0,0.0,85,3,3,7917.0,260.0,3821,1,RIGHT_TENDRIL,82,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3821:8005:304:94:128,right-organ,aim:right-organ
600,BOSS_FIGHT,7910.0,450.0,0.0,85,3,3,7917.0,260.0,3821,1,RIGHT_TENDRIL,54,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3821:8005:304:94:128,right-organ,evade:RIGHT_TENDRIL
676,BOSS_FIGHT,7910.0,450.0,0.0,85,3,3,7917.0,260.0,3793,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:50:8123:383:64:87|core:3793:8005:304:94:128,right-organ,evade:RIGHT_TENDRIL
687,BOSS_FIGHT,7960.0,450.0,0.0,80,3,3,7917.0,260.0,3786,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:25:8123:383:64:87|core:3786:8005:304:94:128,right-organ,damage:aim:right-organ
702,BOSS_FIGHT,7975.0,450.0,0.0,80,3,3,7917.0,260.0,3779,1,EXPOSED,0,260,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3779:8005:304:94:128,right-organ,aim:right-organ
720,BOSS_FIGHT,7910.0,340.8,-5.8,80,3,3,7917.0,260.0,3779,1,EXPOSED,0,247,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3779:8005:304:94:128,core,aim:core
840,BOSS_FIGHT,7890.0,360.0,0.0,80,3,3,7917.0,260.0,3779,1,EXPOSED,0,127,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3779:8005:304:94:128,core,aim:core
960,BOSS_FIGHT,7890.0,360.0,0.0,80,3,3,7917.0,260.0,3779,1,EXPOSED,0,7,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3779:8005:304:94:128,core,aim:core
967,BOSS_FIGHT,7885.0,360.0,0.0,80,3,3,7917.0,260.0,3779,1,REBUILD,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:0:8123:383:64:87|core:3779:8005:304:94:128,core,aim:core
1077,BOSS_FIGHT,7885.0,360.0,0.0,80,3,3,7917.0,260.0,3779,1,READY,0,0,0,0,0,left-organ:400:7917:383:64:87|right-organ:400:8123:383:64:87|core:3779:8005:304:94:128,core,aim:core
1080,BOSS_FIGHT,7870.0,360.0,0.0,80,3,3,7917.0,260.0,3779,1,READY,0,0,0,0,0,left-organ:400:7917:383:64:87|right-organ:400:8123:383:64:87|core:3779:8005:304:94:128,left-organ,aim:left-organ
1128,BOSS_FIGHT,7785.0,450.0,0.0,80,3,3,7917.0,260.0,3772,1,SPORE_FAN,80,0,0,0,0,left-organ:375:7917:383:64:87|right-organ:400:8123:383:64:87|core:3772:8005:304:94:128,left-organ,aim:left-organ
1200,BOSS_FIGHT,7780.0,450.0,0.0,80,3,3,7917.0,260.0,3738,1,SPORE_FAN,13,0,0,0,0,left-organ:250:7917:383:64:87|right-organ:400:8123:383:64:87|core:3738:8005:304:94:128,left-organ,aim:left-organ
1215,BOSS_FIGHT,7780.0,450.0,0.0,80,3,3,7917.0,260.0,3731,1,READY,0,0,0,0,8,left-organ:225:7917:383:64:87|right-organ:400:8123:383:64:87|core:3731:8005:304:94:128,left-organ,aim:left-organ
1293,BOSS_FIGHT,7770.0,323.6,-3.4,80,3,3,7917.0,260.0,3704,1,LEFT_TENDRIL,82,0,0,0,6,left-organ:125:7917:383:64:87|right-organ:400:8123:383:64:87|core:3704:8005:304:94:128,left-organ,aim:left-organ
1320,BOSS_FIGHT,7705.0,450.0,0.0,80,3,3,7917.0,260.0,3704,1,LEFT_TENDRIL,55,0,0,0,2,left-organ:125:7917:383:64:87|right-organ:400:8123:383:64:87|core:3704:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
1397,BOSS_FIGHT,7700.0,450.0,0.0,80,3,3,7917.0,260.0,3669,1,READY,0,0,0,0,1,left-organ:0:7917:383:64:87|right-organ:400:8123:383:64:87|core:3669:8005:304:94:128,left-organ,evade:LEFT_TENDRIL
1440,BOSS_FIGHT,7890.0,450.0,0.0,80,3,3,7917.0,260.0,3662,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:375:8123:383:64:87|core:3662:8005:304:94:128,right-organ,aim:right-organ
1455,BOSS_FIGHT,7960.0,450.0,0.0,75,3,3,7917.0,260.0,3655,1,READY,0,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:350:8123:383:64:87|core:3655:8005:304:94:128,right-organ,damage:aim:right-organ
1479,BOSS_FIGHT,7975.0,450.0,0.0,75,3,3,7917.0,260.0,3641,1,HATCH,95,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:300:8123:383:64:87|core:3641:8005:304:94:128,right-organ,aim:right-organ
1560,BOSS_FIGHT,7975.0,450.0,0.0,75,3,3,7917.0,260.0,3613,1,HATCH,18,0,0,0,0,left-organ:0:7917:383:64:87|right-organ:200:8123:383:64:87|core:3613:8005:304:94:128,right-organ,aim:right-organ
1579,BOSS_FIGHT,7975.0,450.0,0.0,70,3,3,7917.0,260.0,3606,1,HATCH,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3606:8005:304:94:128,right-organ,damage:aim:right-organ
1580,BOSS_FIGHT,7975.0,450.0,0.0,70,3,3,7917.0,260.0,3606,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3606:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
1639,BOSS_FIGHT,7980.0,450.0,0.0,65,3,3,7917.0,260.0,3606,1,READY,0,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3606:8005:304:94:128,enemy:LURKER,damage:aim:enemy:LURKER
1654,BOSS_FIGHT,7980.0,450.0,0.0,65,3,3,7917.0,260.0,3606,1,RIGHT_TENDRIL,82,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:175:8123:383:64:87|core:3606:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
1680,BOSS_FIGHT,7900.0,317.0,-1.6,65,3,3,7917.0,260.0,3589,1,RIGHT_TENDRIL,58,0,0,1,0,left-organ:0:7917:383:64:87|right-organ:150:8123:383:64:87|core:3589:8005:304:94:128,enemy:LURKER,aim:enemy:LURKER
