tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,7600.0,450.0,0.0,100,3,3,7907.0,298.0,2500,1,ARRIVAL,0,0,0,0,0,left-arm:250:7907:360:58:108|right-arm:250:8129:360:58:108|core:2500:8017:332:64:68,entry,arrival
0,BOSS_FIGHT,7605.0,450.0,-13.0,100,3,3,7907.0,298.0,2500,1,READY,0,0,0,0,0,left-arm:250:7907:360:58:108|right-arm:250:8129:360:58:108|core:2500:8017:332:64:68,left-arm,aim:left-arm:jump
64,BOSS_FIGHT,7755.0,323.6,-3.4,100,3,3,7907.0,298.0,2456,1,LEFT_STAMP,72,0,0,0,0,left-arm:165:7907:360:58:108|right-arm:250:8129:360:58:108|core:2456:8017:332:64:68,left-arm,aim:left-arm
120,BOSS_FIGHT,7635.0,325.4,3.8,100,3,3,7907.0,298.0,2436,1,LEFT_STAMP,18,0,0,0,0,left-arm:95:7771:292:58:108|right-arm:250:8129:360:58:108|core:2436:8017:332:64:68,left-arm,aim:left-arm
157,BOSS_FIGHT,7605.0,315.6,-0.4,100,3,3,7907.0,298.0,2429,1,READY,0,0,0,0,0,left-arm:70:7907:360:58:108|right-arm:250:8129:360:58:108|core:2429:8017:332:64:68,left-arm,aim:left-arm
240,BOSS_FIGHT,7765.0,360.0,-7.6,100,3,3,7907.0,298.0,2390,1,READY,0,0,0,0,0,left-arm:0:7907:360:58:108|right-arm:250:8129:360:58:108|core:2390:8017:332:64:68,right-arm,aim:right-arm
309,BOSS_FIGHT,7975.0,360.0,0.0,100,3,3,7907.0,298.0,2291,1,RIGHT_STAMP,72,0,0,0,0,left-arm:0:7907:360:58:108|right-arm:240:8129:360:58:108|core:2291:8017:332:64:68,right-arm,aim:right-arm
360,BOSS_FIGHT,7860.0,360.0,0.0,100,3,3,7907.0,298.0,2279,1,RIGHT_STAMP,21,0,0,0,0,left-arm:0:7907:360:58:108|right-arm:240:7999:296:58:108|core:2279:8017:332:64:68,right-arm,aim:right-arm
400,BOSS_FIGHT,7825.0,360.0,0.0,100,3,3,7907.0,298.0,2266,1,READY,0,0,0,0,0,left-arm:0:7907:360:58:108|right-arm:215:8129:360:58:108|core:2266:8017:332:64:68,right-arm,aim:right-arm
480,BOSS_FIGHT,7975.0,360.0,0.0,100,3,3,7907.0,298.0,2149,1,READY,0,0,0,0,0,left-arm:0:7907:360:58:108|right-arm:215:8129:360:58:108|core:2149:8017:332:64:68,right-arm,aim:right-arm
481,BOSS_FIGHT,7975.0,360.0,0.0,100,3,3,7907.0,298.0,2149,1,GIRDER_FALL,85,0,0,0,0,left-arm:0:7907:360:58:108|right-arm:215:8129:360:58:108|core:2149:8017:332:64:68,right-arm,aim:right-arm
570,BOSS_FIGHT,8025.0,317.0,-1.6,95,3,3,7907.0,298.0,2093,1,GIRDER_FALL,0,0,0,0,1,left-arm:0:7907:360:58:108|right-arm:165:8129:360:58:108|core:2093:8017:332:64:68,right-arm,damage:evade:GIRDER_FALL
590,BOSS_FIGHT,8025.0,390.8,9.2,95,3,3,7907.0,298.0,2060,1,READY,0,0,0,0,1,left-arm:0:7907:360:58:108|right-arm:155:8129:360:58:108|core:2060:8017:332:64:68,right-arm,evade:GIRDER_FALL
600,BOSS_FIGHT,7995.0,414.6,-11.2,95,3,3,7907.0,298.0,2060,1,READY,0,0,0,0,1,left-arm:0:7907:360:58:108|right-arm:155:8129:360:58:108|core:2060:8017:332:64:68,right-arm,aim:right-arm
634,BOSS_FIGHT,7995.0,360.0,0.0,90,3,3,7907.0,298.0,2024,1,READY,0,0,0,0,1,left-arm:0:7907:360:58:108|right-arm:155:8129:360:58:108|core:2024:8017:332:64:68,right-arm,damage:aim:right-arm
698,BOSS_FIGHT,7995.0,360.0,0.0,85,3,3,7907.0,298.0,1952,1,READY,0,0,0,0,0,left-arm:0:7907:360:58:108|right-arm:155:8129:360:58:108|core:1952:8017:332:64:68,right-arm,damage:aim:right-arm
