tick,x,y,hp,lives,bombs,state,battle,wave,alive,kills,brokenProps,target,reason,worldTick,keyLeft,keyRight,hitstop,ctxHitstop,camera,sessionState
0,105.0,450.0,100,3,3,RUNNING,false,0,0,0,0,route,advance,2,false,true,0,0,0.0,RUNNING
105,615.0,450.0,100,3,3,RUNNING,false,0,1,1,0,DRILLER,engage:DRILLER,107,false,false,4,0,309.6002142501057,RUNNING
116,650.0,384.6,100,3,3,RUNNING,false,0,1,1,1,INTERRUPT,engage:INTERRUPT,114,false,true,0,0,337.17171151555004,RUNNING
120,670.0,353.0,100,3,3,RUNNING,false,0,1,1,1,INTERRUPT,engage:INTERRUPT,118,false,true,0,0,355.4963219843141,RUNNING
240,1025.0,183.2,100,3,3,RUNNING,false,0,2,1,1,INTERRUPT,engage:INTERRUPT,238,true,false,0,0,754.9174986608838,RUNNING
283,970.0,331.0,100,3,3,RUNNING,false,0,1,2,1,INTERRUPT,engage:INTERRUPT,281,false,false,4,0,682.3913991987849,RUNNING
360,1265.0,450.0,100,3,3,RUNNING,false,0,1,2,1,SLAG_SPITTER,engage:SLAG_SPITTER,354,false,false,0,0,974.0883949228945,RUNNING
450,1420.0,450.0,100,3,3,RUNNING,false,0,0,3,1,SLAG_SPITTER,engage:SLAG_SPITTER,444,false,false,4,0,1131.969444818553,RUNNING
480,1550.0,317.0,100,3,3,RUNNING,false,0,1,3,1,INTERRUPT,engage:INTERRUPT,470,false,true,0,0,1234.0804005940702,RUNNING
600,1860.0,179.8,100,3,3,RUNNING,true,0,1,3,1,INTERRUPT,engage:INTERRUPT,590,true,false,0,0,1596.870365031286,RUNNING
720,1820.0,255.8,100,3,3,RUNNING,true,0,1,3,1,INTERRUPT,double-jump,710,false,false,0,0,1532.0000039054905,RUNNING
767,1820.0,321.6,100,3,3,RUNNING,true,0,0,4,1,INTERRUPT,engage:INTERRUPT,757,false,false,4,0,1532.0000000018808,RUNNING
840,2165.0,450.0,100,3,3,RUNNING,true,1,2,4,1,DRILLER,engage:DRILLER,826,false,true,0,0,1699.9102067550584,RUNNING
893,2245.0,450.0,100,3,3,RUNNING,true,1,1,5,1,DRILLER,engage:DRILLER,879,false,false,4,0,1699.9999836902716,RUNNING
898,2245.0,450.0,100,3,3,RUNNING,true,1,0,6,1,DRILLER,engage:DRILLER,880,false,false,4,0,1699.999986136731,RUNNING
960,2535.0,323.6,100,3,3,RUNNING,true,2,2,6,1,INTERRUPT,engage:INTERRUPT,938,false,true,0,0,1699.9999999988825,RUNNING
977,2555.0,273.6,100,3,3,RUNNING,true,2,1,7,1,INTERRUPT,engage:INTERRUPT,955,false,false,4,0,1699.9999999999295,RUNNING
1017,2555.0,313.2,100,3,3,UPGRADE_SELECTION,true,2,0,8,1,INTERRUPT,double-jump,991,false,false,4,0,1699.9999999999993,UPGRADE_SELECTION
1018,2555.0,313.2,100,3,3,RUNNING,true,2,0,8,1,INTERRUPT,upgrade:COMMIT_CRITICAL,991,false,false,3,0,1699.9999999999993,RUNNING
1019,2555.0,313.2,100,3,3,RUNNING,true,2,0,8,1,route,advance,991,false,true,2,0,1699.9999999999993,RUNNING
1080,2640.0,177.8,100,3,3,RUNNING,false,0,1,8,1,DRILLER,engage:DRILLER,1050,false,false,0,0,2316.8721823571486,RUNNING
1200,2640.0,375.8,100,3,3,RUNNING,false,0,1,8,1,DRILLER,engage:DRILLER,1170,false,false,0,0,2351.999999880896,RUNNING
1260,2640.0,351.8,100,3,3,RUNNING,false,0,1,8,2,DRILLER,engage:DRILLER,1230,false,false,0,0,2351.999999999992,RUNNING
1320,2640.0,199.8,100,3,3,RUNNING,false,0,1,8,2,DRILLER,engage:DRILLER,1290,false,false,0,0,2351.9999999999977,RUNNING
