tick,x,y,hp,lives,bombs,state,battle,wave,alive,kills,brokenProps,target,reason,worldTick,keyLeft,keyRight,hitstop,ctxHitstop,camera,sessionState
0,105.0,450.0,100,3,3,RUNNING,false,0,0,0,0,route,advance,2,false,true,0,0,0.0,RUNNING
61,410.0,450.0,100,3,3,RUNNING,false,0,1,0,1,LURKER,engage:LURKER,63,false,true,0,0,94.20553137536919,RUNNING
120,605.0,450.0,100,3,3,RUNNING,false,0,1,0,1,LURKER,engage:LURKER,122,false,false,0,0,315.9018502003851,RUNNING
143,650.0,340.8,100,3,3,RUNNING,false,0,1,1,1,LURKER,engage:LURKER,145,false,true,4,0,340.20300733531167,RUNNING
240,1155.0,222.0,100,3,3,RUNNING,false,0,2,1,1,MIRROR,engage:MIRROR,238,false,true,0,0,838.6654681998326,RUNNING
343,1285.0,189.4,100,3,3,RUNNING,false,0,2,1,2,MIRROR,engage:MIRROR,341,false,true,0,0,985.0947227808844,RUNNING
360,1310.0,223.4,100,3,3,RUNNING,false,0,2,1,2,MIRROR,engage:MIRROR,358,false,false,0,0,1013.9861800086302,RUNNING
442,1340.0,276.8,85,3,3,RUNNING,false,0,2,1,2,MIRROR,damage:engage:MIRROR,440,false,false,0,0,1047.6293829903068,RUNNING
479,1365.0,315.8,85,3,3,RUNNING,false,0,1,2,2,MIRROR,double-jump,477,false,false,4,0,1073.1607737068239,RUNNING
480,1365.0,315.8,85,3,3,RUNNING,false,0,1,2,2,MIRROR,engage:MIRROR,477,false,false,3,0,1073.1607737068239,RUNNING
594,1445.0,238.8,85,3,3,RUNNING,false,0,1,3,2,MIRROR,engage:MIRROR,588,false,false,4,0,1154.0701169597237,RUNNING
600,1455.0,256.6,85,3,3,RUNNING,false,0,1,3,2,LURKER,engage:LURKER,590,false,true,0,0,1157.0206595034003,RUNNING
603,1470.0,287.8,70,3,3,RUNNING,false,0,1,3,2,LURKER,damage:engage:LURKER,593,false,true,0,0,1164.9383125175257,RUNNING
663,1725.0,450.0,70,3,3,RUNNING,false,0,1,4,2,LURKER,engage:LURKER,653,false,false,4,0,1430.4381761862494,RUNNING
720,1990.0,450.0,70,3,3,RUNNING,true,0,1,4,2,MIRROR,engage:MIRROR,706,false,true,0,0,1673.6706211668918,RUNNING
724,2000.0,450.0,70,3,3,RUNNING,true,0,0,5,2,MIRROR,engage:MIRROR,710,false,false,4,0,1691.5312309404997,RUNNING
791,2220.0,450.0,70,3,3,RUNNING,true,1,2,5,3,LURKER,engage:LURKER,773,false,true,0,0,1848.1718123122573,RUNNING
840,2370.0,450.0,70,3,3,RUNNING,true,1,2,5,3,LURKER,engage:LURKER,822,false,false,0,0,1849.9993638666863,RUNNING
868,2440.0,320.8,70,3,3,RUNNING,true,1,1,6,3,LURKER,engage:LURKER,850,false,true,4,0,1849.9999932814112,RUNNING
