tick,x,y,hp,lives,bombs,state,battle,wave,alive,kills,brokenProps,target,reason,worldTick,keyLeft,keyRight,hitstop,ctxHitstop,camera,sessionState
0,105.0,450.0,100,3,3,RUNNING,false,0,0,0,0,route,advance,2,false,true,0,0,0.0,RUNNING
50,355.0,450.0,100,3,3,RUNNING,false,0,1,0,1,DRILLER,engage:DRILLER,52,false,true,0,0,41.88678297863437,RUNNING
120,615.0,450.0,100,3,3,RUNNING,false,0,1,1,1,DRILLER,engage:DRILLER,122,false,false,4,0,325.4800553032889,RUNNING
220,1055.0,346.6,100,3,3,RUNNING,false,0,1,2,1,INTERRUPT,engage:INTERRUPT,218,false,false,4,0,747.6429609044117,RUNNING
240,1135.0,325.8,100,3,3,RUNNING,false,0,1,2,1,SLAG_SPITTER,engage:SLAG_SPITTER,234,false,true,0,0,819.3331662641938,RUNNING
360,1545.0,285.4,100,3,3,RUNNING,false,0,2,2,1,SLAG_SPITTER,engage:SLAG_SPITTER,354,false,true,0,0,1228.7792922831284,RUNNING
452,1550.0,184.4,100,3,3,RUNNING,false,0,1,3,1,SLAG_SPITTER,engage:SLAG_SPITTER,446,false,false,4,0,1261.9999893352654,RUNNING
473,1550.0,238.8,100,3,3,RUNNING,false,0,0,4,1,SLAG_SPITTER,engage:SLAG_SPITTER,463,false,false,4,0,1261.999999326912,RUNNING
480,1565.0,266.4,100,3,3,RUNNING,false,0,0,4,1,route,advance,466,false,true,0,0,1266.0668745866399,RUNNING
600,2140.0,450.0,100,3,3,RUNNING,true,1,2,4,1,DRILLER,engage:DRILLER,586,false,false,0,0,1699.9098246907322,RUNNING
612,2140.0,450.0,100,3,3,RUNNING,true,1,1,5,1,DRILLER,engage:DRILLER,598,false,false,4,0,1699.9871733055595,RUNNING
617,2140.0,450.0,100,3,3,RUNNING,true,1,0,6,1,DRILLER,engage:DRILLER,599,false,false,4,0,1699.9890973097256,RUNNING
720,2510.0,213.6,100,3,3,RUNNING,true,2,2,6,1,INTERRUPT,engage:INTERRUPT,698,false,false,0,0,1699.999999998878,RUNNING
733,2510.0,325.4,100,3,3,RUNNING,true,2,1,7,1,INTERRUPT,engage:INTERRUPT,711,false,false,4,0,1699.9999999998643,RUNNING
738,2515.0,335.0,100,3,3,UPGRADE_SELECTION,true,2,0,8,1,INTERRUPT,engage:INTERRUPT,712,false,false,4,0,1699.9999999998847,UPGRADE_SELECTION
739,2515.0,335.0,100,3,3,RUNNING,true,2,0,8,1,INTERRUPT,upgrade:COMMIT_CRITICAL,712,false,false,3,0,1699.9999999998847,RUNNING
740,2515.0,335.0,100,3,3,RUNNING,true,2,0,8,1,route,advance,712,false,true,2,0,1699.9999999998847,RUNNING
840,2640.0,425.8,100,3,3,RUNNING,false,0,1,8,1,DRILLER,engage:DRILLER,810,false,false,0,0,2351.937914630175,RUNNING
897,2640.0,256.6,100,3,3,RUNNING,false,0,1,8,2,DRILLER,engage:DRILLER,867,false,false,0,0,2351.9999941133515,RUNNING
960,2640.0,183.8,100,3,3,RUNNING,false,0,1,8,2,DRILLER,engage:DRILLER,930,false,false,0,0,2351.9999999997885,RUNNING
993,2640.0,414.6,100,3,3,RUNNING,false,0,0,9,2,DRILLER,engage:DRILLER,963,false,false,4,0,2351.9999999999977,RUNNING
1080,3055.0,404.0,100,3,3,RUNNING,false,0,1,9,2,INTERRUPT,engage:INTERRUPT,1046,false,true,0,0,2738.6667059373535,RUNNING
1117,3115.0,275.2,100,3,3,RUNNING,false,0,1,10,2,INTERRUPT,engage:INTERRUPT,1083,false,true,4,0,2818.3722186448877,RUNNING
1200,3491.1,450.0,100,3,3,RUNNING,false,0,1,10,2,SLAG_SPITTER,engage:SLAG_SPITTER,1162,false,true,0,0,3174.984966305897,RUNNING
1227,3501.1,450.0,100,3,3,RUNNING,false,0,1,11,2,SLAG_SPITTER,engage:SLAG_SPITTER,1189,false,false,4,0,3212.615441185033,RUNNING
1304,3756.1,450.0,100,3,3,RUNNING,false,0,0,12,2,DRILLER,engage:DRILLER,1262,false,false,4,0,3467.3067561584853,RUNNING
1320,3816.1,450.0,100,3,3,RUNNING,false,0,0,12,2,route,advance,1274,false,true,0,0,3503.684017387667,RUNNING
1391,4171.1,249.0,100,3,3,RUNNING,false,0,1,13,2,INTERRUPT,engage:INTERRUPT,1345,false,true,4,0,3854.7667048378944,RUNNING
1440,4396.1,450.0,100,3,3,RUNNING,true,0,1,13,2,SLAG_SPITTER,engage:SLAG_SPITTER,1390,false,true,0,0,4079.766666692107,RUNNING
1480,4396.1,450.0,100,3,3,RUNNING,true,0,0,14,2,SLAG_SPITTER,engage:SLAG_SPITTER,1430,false,false,4,0,4108.057434797955,RUNNING
1560,4776.1,450.0,100,3,3,RUNNING,true,1,2,14,2,SLAG_SPITTER,engage:SLAG_SPITTER,1506,false,true,0,0,4199.997685718847,RUNNING
1592,4831.1,450.0,100,3,3,RUNNING,true,1,1,15,2,SLAG_SPITTER,engage:SLAG_SPITTER,1538,false,false,4,0,4199.99998724085,RUNNING
1599,4846.1,450.0,100,3,3,RUNNING,true,1,0,16,2,SLAG_SPITTER,engage:SLAG_SPITTER,1541,false,true,4,0,4199.999992164287,RUNNING
1662,5076.1,320.8,100,3,3,RUNNING,true,2,1,17,2,INTERRUPT,engage:INTERRUPT,1600,false,false,4,0,4199.999999999463,RUNNING
1680,5130.0,344.6,100,3,3,RUNNING,true,2,1,17,2,route,advance,1614,false,true,0,0,4199.999999999945,RUNNING
1800,4915.0,181.8,100,3,3,RUNNING,true,2,1,17,2,INTERRUPT,engage:INTERRUPT,1734,true,false,0,0,4199.999999999997,RUNNING
1831,4760.0,359.6,100,3,3,RUNNING,true,2,0,18,2,INTERRUPT,engage:INTERRUPT,1765,true,false,4,0,4199.999999999997,RUNNING
1920,4980.0,450.0,100,3,3,RUNNING,true,3,2,18,2,DRILLER,engage:DRILLER,1850,false,false,0,0,4199.999999999997,RUNNING
1923,4980.0,450.0,100,3,3,UPGRADE_SELECTION,true,3,1,19,2,DRILLER,engage:DRILLER,1853,false,false,4,0,4199.999999999997,UPGRADE_SELECTION
1924,4980.0,450.0,100,3,3,RUNNING,true,3,1,19,2,DRILLER,upgrade:DEPENDENCY_CORE_COMMIT,1853,false,false,3,0,4199.999999999997,RUNNING
