chapter,width,load,frames,p50_ms,p95_ms,p99_ms
3,960,0,160,5.166,7.042,7.543
3,960,6,160,5.115,7.800,9.476
3,960,24,160,7.416,8.620,10.159
3,600,0,160,3.406,3.888,4.541
3,600,6,160,4.471,4.781,5.096
3,600,24,160,7.100,8.303,8.555
4,960,0,160,3.663,4.111,4.740
4,960,6,160,4.557,4.844,5.692
4,960,24,160,7.301,10.125,12.222
4,600,0,160,3.507,4.711,5.826
4,600,6,160,4.748,5.429,5.714
4,600,24,160,8.505,11.135,11.430
5,960,0,160,3.652,4.263,4.870
5,960,6,160,4.634,5.008,5.471
5,960,24,160,7.454,8.017,8.500
5,600,0,160,3.621,3.917,4.047
5,600,6,160,4.642,5.058,5.298
5,600,24,160,7.373,8.138,8.688
