case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world2_normal_960,960,600,960,600,0,8.488600,0.099700,1.630600,true,6,32,12,120
world2_normal_960,960,600,960,600,1,8.552500,0.108500,1.489200,true,6,32,12,120
world2_normal_960,960,600,960,600,2,8.476700,0.101800,1.345400,true,6,32,12,120
world2_normal_960,960,600,960,600,3,8.002000,0.111100,1.420100,true,6,32,12,120
world2_normal_960,960,600,960,600,4,8.208900,0.101600,1.308200,true,6,32,12,120
world2_normal_960,960,600,960,600,5,8.161700,0.126300,1.271600,true,6,32,12,120
world2_normal_960,960,600,960,600,6,9.095900,0.104000,1.997800,true,6,32,12,120
world2_normal_960,960,600,960,600,7,9.871800,0.115100,1.358400,true,6,32,12,120
world2_normal_960,960,600,960,600,8,9.340100,0.119400,1.308500,true,6,32,12,120
world2_normal_960,960,600,960,600,9,8.477500,0.105800,1.367000,true,6,32,12,120
world2_normal_960,960,600,960,600,10,7.988700,0.137700,1.459300,true,6,32,12,120
world2_normal_960,960,600,960,600,11,9.027500,0.101600,1.470400,true,6,32,12,120
world2_normal_960,960,600,960,600,12,8.007700,0.104600,1.391400,true,6,32,12,120
world2_normal_960,960,600,960,600,13,7.962900,0.103200,1.503800,true,6,32,12,120
world2_normal_960,960,600,960,600,14,7.824500,0.101400,1.318400,true,6,32,12,120
world2_normal_960,960,600,960,600,15,7.491000,0.167300,1.669700,true,6,32,12,120
world2_normal_960,960,600,960,600,16,7.682700,0.109400,1.282700,true,6,32,12,120
world2_normal_960,960,600,960,600,17,7.582100,0.130500,1.623100,true,6,32,12,120
world2_normal_960,960,600,960,600,18,7.840500,0.149200,1.456200,true,6,32,12,120
world2_normal_960,960,600,960,600,19,8.026400,0.109600,1.350700,true,6,32,12,120
world2_normal_960,960,600,960,600,20,8.638100,0.109000,1.394400,true,6,32,12,120
world2_normal_960,960,600,960,600,21,8.040900,0.110700,1.469800,true,6,32,12,120
world2_normal_960,960,600,960,600,22,7.615000,0.125800,1.388600,true,6,32,12,120
world2_normal_960,960,600,960,600,23,7.614900,0.100700,1.246500,true,6,32,12,120
world2_normal_960,960,600,960,600,24,7.622000,0.194400,1.439800,true,6,32,12,120
world2_normal_960,960,600,960,600,25,7.321400,0.150200,1.381400,true,6,32,12,120
world2_normal_960,960,600,960,600,26,7.518300,0.104300,1.761700,true,6,32,12,120
world2_normal_960,960,600,960,600,27,7.731000,0.155700,1.417700,true,6,32,12,120
world2_normal_960,960,600,960,600,28,8.328600,0.117500,1.255900,true,6,32,12,120
world2_normal_960,960,600,960,600,29,8.234000,0.108000,1.516100,true,6,32,12,120
world2_normal_960,960,600,960,600,30,8.318900,0.110100,1.471800,true,6,32,12,120
world2_normal_960,960,600,960,600,31,7.564600,0.123900,1.888100,true,6,32,12,120
world2_normal_960,960,600,960,600,32,7.736400,0.113000,1.455900,true,6,32,12,120
world2_normal_960,960,600,960,600,33,7.919800,0.106200,1.246200,true,6,32,12,120
world2_normal_960,960,600,960,600,34,8.232300,0.113500,1.512100,true,6,32,12,120
world2_normal_960,960,600,960,600,35,7.550400,0.100400,1.339700,true,6,32,12,120
world2_normal_960,960,600,960,600,36,7.589100,0.129100,1.833100,true,6,32,12,120
world2_normal_960,960,600,960,600,37,7.803400,0.194000,1.352900,true,6,32,12,120
world2_normal_960,960,600,960,600,38,7.458000,0.124500,1.340200,true,6,32,12,120
world2_normal_960,960,600,960,600,39,7.991000,0.102400,1.403300,true,6,32,12,120
world2_normal_960,960,600,960,600,40,8.282600,0.115500,1.258800,true,6,32,12,120
world2_normal_960,960,600,960,600,41,7.405300,0.102300,1.485200,true,6,32,12,120
world2_normal_960,960,600,960,600,42,8.352600,0.148500,1.510500,true,6,32,12,120
world2_normal_960,960,600,960,600,43,8.569600,0.120800,1.297100,true,6,32,12,120
world2_normal_960,960,600,960,600,44,8.491900,0.116700,1.404800,true,6,32,12,120
world2_normal_960,960,600,960,600,45,8.875100,0.120300,1.492200,true,6,32,12,120
world2_normal_960,960,600,960,600,46,7.561400,0.127400,1.400600,true,6,32,12,120
world2_normal_960,960,600,960,600,47,7.575500,0.117800,1.402000,true,6,32,12,120
world2_normal_960,960,600,960,600,48,7.813900,0.116300,1.297900,true,6,32,12,120
world2_normal_960,960,600,960,600,49,8.214400,0.142000,1.263400,true,6,32,12,120
world2_normal_960,960,600,960,600,50,7.745500,0.113500,1.420200,true,6,32,12,120
world2_normal_960,960,600,960,600,51,7.407200,0.109900,1.810600,true,6,32,12,120
world2_normal_960,960,600,960,600,52,7.699300,0.100800,1.264600,true,6,32,12,120
world2_normal_960,960,600,960,600,53,7.415100,0.105400,1.409700,true,6,32,12,120
world2_normal_960,960,600,960,600,54,7.576400,0.104300,1.290700,true,6,32,12,120
world2_normal_960,960,600,960,600,55,7.474100,0.105200,1.382700,true,6,32,12,120
world2_normal_960,960,600,960,600,56,7.253000,0.104600,1.257800,true,6,32,12,120
world2_normal_960,960,600,960,600,57,7.294900,0.111600,1.569700,true,6,32,12,120
world2_normal_960,960,600,960,600,58,7.484800,0.151300,1.400700,true,6,32,12,120
world2_normal_960,960,600,960,600,59,7.300900,0.128000,1.391700,true,6,32,12,120
world2_normal_960,960,600,960,600,60,9.292900,0.107200,1.422200,true,6,32,13,120
world2_normal_960,960,600,960,600,61,7.739400,0.106800,1.958100,true,6,32,12,120
world2_normal_960,960,600,960,600,62,7.387300,0.097800,1.451100,true,6,32,12,120
world2_normal_960,960,600,960,600,63,7.391900,0.109200,1.275100,true,6,32,12,120
world2_normal_960,960,600,960,600,64,7.434400,0.093600,1.245600,true,6,32,13,120
world2_normal_960,960,600,960,600,65,7.310500,0.130100,1.447200,true,6,32,12,120
world2_normal_960,960,600,960,600,66,8.549600,0.103100,1.341400,true,6,32,12,120
world2_normal_960,960,600,960,600,67,9.354900,0.100800,1.285400,true,6,32,12,120
world2_normal_960,960,600,960,600,68,8.006800,0.149300,1.375600,true,6,32,12,120
world2_normal_960,960,600,960,600,69,8.415400,0.136000,1.286200,true,6,32,12,120
world2_normal_960,960,600,960,600,70,8.888500,0.315400,1.267700,true,6,32,12,120
world2_normal_960,960,600,960,600,71,11.769000,0.138600,1.335100,true,6,32,12,120
world2_normal_960,960,600,960,600,72,9.840400,0.094900,1.527300,true,6,32,12,120
world2_normal_960,960,600,960,600,73,10.852700,0.092400,1.432000,true,6,32,12,120
