case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world2_normal_960,960,600,960,600,0,8.089100,0.094000,1.331000,true,6,32,12,120
world2_normal_960,960,600,960,600,1,8.571900,0.098800,1.346700,true,6,32,12,120
world2_normal_960,960,600,960,600,2,9.112400,0.137700,1.367600,true,6,32,12,120
world2_normal_960,960,600,960,600,3,8.472900,0.119100,1.489100,true,6,32,12,120
world2_normal_960,960,600,960,600,4,8.896400,0.100800,1.240800,true,6,32,12,120
world2_normal_960,960,600,960,600,5,8.638500,0.123300,1.461900,true,6,32,12,120
world2_normal_960,960,600,960,600,6,7.606700,0.107800,2.432800,true,6,32,12,120
world2_normal_960,960,600,960,600,7,7.686900,0.093100,1.444200,true,6,32,12,120
world2_normal_960,960,600,960,600,8,7.619400,0.103100,1.367800,true,6,32,12,120
world2_normal_960,960,600,960,600,9,8.430300,0.097600,1.465500,true,6,32,12,120
world2_normal_960,960,600,960,600,10,8.278600,0.112200,1.455600,true,6,32,12,120
world2_normal_960,960,600,960,600,11,7.439900,0.128000,1.616600,true,6,32,12,120
world2_normal_960,960,600,960,600,12,7.697400,0.101100,1.556900,true,6,32,12,120
world2_normal_960,960,600,960,600,13,7.516300,0.107700,1.359200,true,6,32,12,120
world2_normal_960,960,600,960,600,14,8.305600,0.104700,1.514800,true,6,32,12,120
world2_normal_960,960,600,960,600,15,8.195400,0.111200,1.353400,true,6,32,12,120
world2_normal_960,960,600,960,600,16,8.845800,0.165900,1.278300,true,6,32,12,120
world2_normal_960,960,600,960,600,17,8.085400,0.127900,1.519100,true,6,32,12,120
world2_normal_960,960,600,960,600,18,7.939600,0.099400,1.479400,true,6,32,12,120
world2_normal_960,960,600,960,600,19,7.605300,0.125800,1.470100,true,6,32,12,120
world2_normal_960,960,600,960,600,20,8.226600,0.109800,1.296600,true,6,32,12,120
world2_normal_960,960,600,960,600,21,7.962100,0.117900,1.410400,true,6,32,12,120
world2_normal_960,960,600,960,600,22,7.646500,0.105400,1.440200,true,6,32,12,120
world2_normal_960,960,600,960,600,23,8.137900,0.100900,1.350100,true,6,32,12,120
world2_normal_960,960,600,960,600,24,7.574600,0.106300,1.664800,true,6,32,12,120
world2_normal_960,960,600,960,600,25,7.927900,0.147100,1.508600,true,6,32,12,120
world2_normal_960,960,600,960,600,26,7.306000,0.111400,1.679500,true,6,32,12,120
world2_normal_960,960,600,960,600,27,8.082800,0.113500,1.307400,true,6,32,12,120
world2_normal_960,960,600,960,600,28,7.429000,0.165900,1.568100,true,6,32,12,120
world2_normal_960,960,600,960,600,29,7.684700,0.103000,1.446300,true,6,32,12,120
world2_normal_960,960,600,960,600,30,7.786100,0.141100,1.777500,true,6,32,12,120
world2_normal_960,960,600,960,600,31,7.550100,0.103600,1.263400,true,6,32,12,120
world2_normal_960,960,600,960,600,32,7.401600,0.145300,1.286100,true,6,32,12,120
world2_normal_960,960,600,960,600,33,8.020000,0.106500,1.374000,true,6,32,12,120
world2_normal_960,960,600,960,600,34,8.606500,0.109500,1.270000,true,6,32,12,120
world2_normal_960,960,600,960,600,35,8.327300,0.130700,1.592700,true,6,32,12,120
world2_normal_960,960,600,960,600,36,7.467000,0.102900,1.318700,true,6,32,12,120
world2_normal_960,960,600,960,600,37,7.687300,0.118900,1.568800,true,6,32,12,120
world2_normal_960,960,600,960,600,38,10.588800,0.149900,1.483300,true,6,32,12,120
world2_normal_960,960,600,960,600,39,7.674000,0.098800,1.349300,true,6,32,12,120
world2_normal_960,960,600,960,600,40,7.439600,0.113600,1.450200,true,6,32,12,120
world2_normal_960,960,600,960,600,41,7.469800,0.127800,1.558700,true,6,32,12,120
world2_normal_960,960,600,960,600,42,7.488300,0.129200,1.343300,true,6,32,12,120
world2_normal_960,960,600,960,600,43,7.282500,0.096000,1.509100,true,6,32,12,120
world2_normal_960,960,600,960,600,44,7.371000,0.107600,1.284800,true,6,32,12,120
world2_normal_960,960,600,960,600,45,7.805000,0.102800,1.462300,true,6,32,12,120
world2_normal_960,960,600,960,600,46,7.308400,0.110300,1.306800,true,6,32,12,120
world2_normal_960,960,600,960,600,47,7.608900,0.122100,1.459200,true,6,32,12,120
world2_normal_960,960,600,960,600,48,7.192500,0.115800,1.387900,true,6,32,12,120
world2_normal_960,960,600,960,600,49,7.525400,0.105800,1.483800,true,6,32,12,120
world2_normal_960,960,600,960,600,50,7.968200,0.111900,1.673200,true,6,32,12,120
world2_normal_960,960,600,960,600,51,7.349900,0.105300,1.283400,true,6,32,12,120
world2_normal_960,960,600,960,600,52,7.437000,0.175500,1.432100,true,6,32,12,120
world2_normal_960,960,600,960,600,53,8.092800,0.096500,1.573400,true,6,32,13,120
world2_normal_960,960,600,960,600,54,7.597200,0.098900,1.256100,true,6,32,12,120
world2_normal_960,960,600,960,600,55,7.669900,0.098600,1.392600,true,6,32,12,120
world2_normal_960,960,600,960,600,56,9.188100,0.102000,1.369900,true,6,32,12,120
world2_normal_960,960,600,960,600,57,7.749900,0.107200,1.340400,true,6,32,13,120
world2_normal_960,960,600,960,600,58,7.515900,0.093500,1.441200,true,6,32,12,120
world2_normal_960,960,600,960,600,59,7.601400,0.117100,1.360400,true,6,32,12,120
world2_normal_960,960,600,960,600,60,7.487000,0.110900,1.410500,true,6,32,12,120
world2_normal_960,960,600,960,600,61,7.731700,0.219400,1.563100,true,6,32,12,120
world2_normal_960,960,600,960,600,62,7.892000,0.150200,2.411200,true,6,32,12,120
world2_normal_960,960,600,960,600,63,8.667700,0.137200,1.290300,true,6,32,12,120
world2_normal_960,960,600,960,600,64,8.915800,0.140500,1.409700,true,6,32,12,120
world2_normal_960,960,600,960,600,65,8.297300,0.101400,1.510000,true,6,32,12,120
world2_normal_960,960,600,960,600,66,7.822400,0.093200,2.267000,true,6,32,12,120
world2_normal_960,960,600,960,600,67,7.957500,0.114600,1.458800,true,6,32,12,120
world2_normal_960,960,600,960,600,68,7.996200,0.103200,1.463000,true,6,32,12,120
world2_normal_960,960,600,960,600,69,7.072500,0.101900,1.318300,true,6,32,12,120
world2_normal_960,960,600,960,600,70,8.117200,0.091000,1.856900,true,6,32,12,120
world2_normal_960,960,600,960,600,71,7.349600,0.100300,1.360400,true,6,32,12,120
world2_normal_960,960,600,960,600,72,7.297900,0.103300,2.221700,true,6,32,12,120
world2_normal_960,960,600,960,600,73,8.716900,0.099400,1.341000,true,6,32,12,120
world2_normal_960,960,600,960,600,74,7.498000,0.097500,1.289600,true,6,32,12,120
world2_normal_960,960,600,960,600,75,7.407600,0.101700,1.395500,true,6,32,12,120
world2_normal_960,960,600,960,600,76,7.366300,0.121100,1.395200,true,6,32,12,120
world2_normal_960,960,600,960,600,77,7.634900,0.131500,1.316200,true,6,32,12,120
world2_normal_960,960,600,960,600,78,7.440800,0.117100,1.427100,true,6,32,12,120
world2_normal_960,960,600,960,600,79,7.016800,0.113700,1.431500,true,6,32,12,120
world2_normal_960,960,600,960,600,80,7.599300,0.110400,1.444000,true,6,32,12,120
world2_normal_960,960,600,960,600,81,7.425900,0.091900,1.274500,true,6,32,12,120
world2_normal_960,960,600,960,600,82,7.468500,0.107600,1.799400,true,6,32,12,120
world2_normal_960,960,600,960,600,83,7.325600,0.099300,1.327300,true,6,32,12,120
world2_normal_960,960,600,960,600,84,7.283900,0.102000,1.462200,true,6,32,12,120
world2_normal_960,960,600,960,600,85,6.879600,0.092400,1.260500,true,6,32,13,120
world2_normal_960,960,600,960,600,86,7.012800,0.107900,1.407600,true,6,32,12,120
world2_normal_960,960,600,960,600,87,7.583000,0.094700,1.247300,true,6,32,12,120
world2_normal_960,960,600,960,600,88,6.796000,0.097400,1.358900,true,6,32,12,120
world2_normal_960,960,600,960,600,89,7.309800,0.120400,1.339400,true,6,32,12,120
world2_normal_960,960,600,960,600,90,6.976900,0.095100,1.773800,true,6,32,12,120
world2_normal_960,960,600,960,600,91,6.793500,0.106100,1.420900,true,6,32,12,120
world2_normal_960,960,600,960,600,92,7.269800,0.095900,1.437500,true,6,32,12,120
world2_normal_960,960,600,960,600,93,7.353700,0.093500,1.690200,true,6,32,12,120
world2_normal_960,960,600,960,600,94,7.471000,0.105100,1.382800,true,6,32,12,120
world2_normal_960,960,600,960,600,95,7.545200,0.097100,1.366500,true,6,32,12,120
world2_normal_960,960,600,960,600,96,6.918000,0.110900,1.460800,true,6,32,12,120
world2_normal_960,960,600,960,600,97,7.312600,0.119600,1.242000,true,6,32,12,120
world2_normal_960,960,600,960,600,98,7.746200,0.100400,1.248500,true,6,32,12,120
world2_normal_960,960,600,960,600,99,7.969400,0.099700,1.365400,true,6,32,12,120
world2_normal_960,960,600,960,600,100,7.230000,0.109800,1.269900,true,6,32,12,120
world2_normal_960,960,600,960,600,101,7.828000,0.101800,1.505200,true,6,32,12,120
world2_normal_960,960,600,960,600,102,7.175600,0.101600,1.398000,true,6,32,12,120
world2_normal_960,960,600,960,600,103,7.139300,0.094200,1.700400,true,6,32,12,120
world2_normal_960,960,600,960,600,104,7.369900,0.115000,1.285300,true,6,32,12,120
world2_normal_960,960,600,960,600,105,8.303800,0.107400,1.479600,true,6,32,12,120
world2_normal_960,960,600,960,600,106,7.930800,0.112300,1.320900,true,6,32,12,120
world2_normal_960,960,600,960,600,107,7.322400,0.109700,1.508300,true,6,32,12,120
world2_normal_960,960,600,960,600,108,7.246000,0.107300,1.337200,true,6,32,12,120
world2_normal_960,960,600,960,600,109,7.573300,0.113000,1.289400,true,6,32,12,120
world2_normal_960,960,600,960,600,110,8.479100,0.133800,1.418800,true,6,32,12,120
world2_normal_960,960,600,960,600,111,7.486800,0.111400,1.425500,true,6,32,12,120
world2_normal_960,960,600,960,600,112,6.945100,0.101900,1.493500,true,6,32,12,120
world2_normal_960,960,600,960,600,113,7.104600,0.094200,1.584500,true,6,32,12,120
world2_normal_960,960,600,960,600,114,7.206800,0.111600,1.439000,true,6,32,12,120
world2_normal_960,960,600,960,600,115,7.289200,0.104200,1.397000,true,6,32,12,120
world2_normal_960,960,600,960,600,116,7.563800,0.098400,1.250100,true,6,32,12,120
world2_normal_960,960,600,960,600,117,6.870800,0.097800,1.729600,true,6,32,12,120
world2_normal_960,960,600,960,600,118,6.787700,0.104000,1.332300,true,6,32,12,120
world2_normal_960,960,600,960,600,119,7.777300,0.094400,1.502400,true,6,32,12,120
world2_normal_960,960,600,960,600,120,6.874500,0.104500,1.330600,true,6,32,12,120
world2_normal_960,960,600,960,600,121,7.603200,0.112300,1.364000,true,6,32,12,120
world2_normal_960,960,600,960,600,122,7.114000,0.115300,1.730900,true,6,32,12,120
world2_normal_960,960,600,960,600,123,6.802000,0.108900,1.824200,true,6,32,12,120
world2_normal_960,960,600,960,600,124,7.031500,0.096700,1.540000,true,6,32,12,120
world2_normal_960,960,600,960,600,125,6.908200,0.115100,1.379500,true,6,32,12,120
world2_normal_960,960,600,960,600,126,7.080000,0.112900,1.449800,true,6,32,12,120
world2_normal_960,960,600,960,600,127,7.416500,0.104800,1.279600,true,6,32,12,120
world2_normal_960,960,600,960,600,128,7.116200,0.099500,1.354000,true,6,32,12,120
world2_normal_960,960,600,960,600,129,8.296700,0.101500,1.592900,true,6,32,12,120
world2_normal_960,960,600,960,600,130,7.229400,0.099700,1.752700,true,6,32,12,120
world2_normal_960,960,600,960,600,131,7.035400,0.098000,1.241900,true,6,32,12,120
world2_normal_960,960,600,960,600,132,6.798800,0.107800,1.380100,true,6,32,12,120
world2_normal_960,960,600,960,600,133,7.197800,0.120300,1.307000,true,6,32,12,120
world2_normal_960,960,600,960,600,134,7.164600,0.097600,1.490200,true,6,32,12,120
world2_normal_960,960,600,960,600,135,7.438000,0.116500,1.528100,true,6,32,12,120
world2_normal_960,960,600,960,600,136,7.513500,0.110200,1.468200,true,6,32,12,120
world2_normal_960,960,600,960,600,137,7.437800,0.117800,1.477000,true,6,32,12,120
world2_normal_960,960,600,960,600,138,8.079300,0.094700,1.680800,true,6,32,12,120
world2_normal_960,960,600,960,600,139,7.242600,0.106000,1.264800,true,6,32,12,120
world2_normal_960,960,600,960,600,140,7.050100,0.101300,1.360800,true,6,32,12,120
world2_normal_960,960,600,960,600,141,7.339600,0.133200,1.488400,true,6,32,12,120
world2_normal_960,960,600,960,600,142,11.250800,0.139100,1.321900,true,6,32,12,120
world2_normal_960,960,600,960,600,143,7.980200,0.092600,1.499100,true,6,32,12,120
world2_normal_960,960,600,960,600,144,7.241600,0.115300,1.317300,true,6,32,12,120
world2_normal_960,960,600,960,600,145,7.748000,0.094300,1.436000,true,6,32,12,120
world2_normal_960,960,600,960,600,146,6.756400,0.118200,1.741900,true,6,32,12,120
world2_normal_960,960,600,960,600,147,7.202500,0.108900,1.372900,true,6,32,12,120
world2_normal_960,960,600,960,600,148,6.927500,0.148800,1.822500,true,6,32,12,120
world2_normal_960,960,600,960,600,149,7.159400,0.093200,1.268400,true,6,32,12,120
world2_normal_960,960,600,960,600,150,6.856300,0.100700,1.438200,true,6,32,12,120
world2_normal_960,960,600,960,600,151,7.006900,0.097200,1.291100,true,6,32,12,120
world2_normal_960,960,600,960,600,152,6.885500,0.094600,1.419100,true,6,32,12,120
world2_normal_960,960,600,960,600,153,7.101100,0.132500,1.346800,true,6,32,12,120
world2_normal_960,960,600,960,600,154,6.912300,0.092800,1.298300,true,6,32,12,120
world2_normal_960,960,600,960,600,155,6.919500,0.117000,1.364700,true,6,32,12,120
world2_normal_960,960,600,960,600,156,6.801400,0.106900,1.460200,true,6,32,12,120
world2_normal_960,960,600,960,600,157,7.095800,0.101000,1.507300,true,6,32,12,120
world2_normal_960,960,600,960,600,158,6.823100,0.128800,1.491700,true,6,32,12,120
world2_normal_960,960,600,960,600,159,7.015800,0.114100,1.456300,true,6,32,12,120
world2_normal_960,960,600,960,600,160,7.103600,0.146700,1.400000,true,6,32,12,120
world2_normal_960,960,600,960,600,161,7.478900,0.106800,1.259500,true,6,32,12,120
world2_normal_960,960,600,960,600,162,7.073600,0.095700,1.697700,true,6,32,12,120
world2_normal_960,960,600,960,600,163,7.099100,0.107600,1.260300,true,6,32,13,120
world2_normal_960,960,600,960,600,164,7.206800,0.086400,1.288700,true,6,32,12,120
world2_normal_960,960,600,960,600,165,7.297700,0.098300,1.262000,true,6,32,12,120
world2_normal_960,960,600,960,600,166,7.163200,0.095900,1.440400,true,6,32,12,120
world2_normal_960,960,600,960,600,167,7.070700,0.117100,1.363300,true,6,32,13,120
world2_normal_960,960,600,960,600,168,7.908700,0.102300,1.410000,true,6,32,12,120
world2_normal_960,960,600,960,600,169,6.792200,0.135500,1.408500,true,6,32,12,120
world2_normal_960,960,600,960,600,170,6.854300,0.095900,1.509700,true,6,32,12,120
world2_normal_960,960,600,960,600,171,7.088000,0.098600,1.713100,true,6,32,12,120
world2_normal_960,960,600,960,600,172,7.522600,0.230200,1.360100,true,6,32,12,120
world2_normal_960,960,600,960,600,173,9.324100,0.143200,1.457100,true,6,32,12,120
world2_normal_960,960,600,960,600,174,7.507700,0.095200,1.458200,true,6,32,12,120
world2_normal_960,960,600,960,600,175,6.800700,0.096900,1.585900,true,6,32,12,120
world2_normal_960,960,600,960,600,176,6.812500,0.097700,1.423200,true,6,32,12,120
world2_normal_960,960,600,960,600,177,6.683400,0.097000,1.438900,true,6,32,12,120
world2_normal_960,960,600,960,600,178,6.908700,0.092500,1.517800,true,6,32,12,120
world2_normal_960,960,600,960,600,179,9.552900,0.145600,1.558100,true,6,32,12,120
world2_normal_960,960,600,960,600,180,6.904200,0.097500,1.513000,true,6,32,12,120
world2_normal_960,960,600,960,600,181,7.110500,0.128800,1.399600,true,6,32,12,120
world2_normal_960,960,600,960,600,182,6.685200,0.101900,1.335400,true,6,32,12,120
world2_normal_960,960,600,960,600,183,7.023500,0.112400,1.417200,true,6,32,12,120
world2_normal_960,960,600,960,600,184,6.955700,0.109000,1.381700,true,6,32,12,120
world2_normal_960,960,600,960,600,185,6.934100,0.095800,1.233500,true,6,32,12,120
world2_normal_960,960,600,960,600,186,6.943900,0.112200,1.654100,true,6,32,12,120
world2_normal_960,960,600,960,600,187,7.859100,0.111600,1.437500,true,6,32,12,120
world2_normal_960,960,600,960,600,188,7.319200,0.170400,1.483900,true,6,32,12,120
world2_normal_960,960,600,960,600,189,7.844600,0.219400,1.504200,true,6,32,12,120
world2_normal_960,960,600,960,600,190,7.275300,0.195300,1.318000,true,6,32,12,120
world2_normal_600,600,400,600,375,0,6.565000,0.117900,2.211900,true,6,32,12,120
world2_normal_600,600,400,600,375,1,6.807600,0.105700,2.330500,true,6,32,12,120
world2_normal_600,600,400,600,375,2,6.544000,0.078400,2.448700,true,6,32,12,120
world2_normal_600,600,400,600,375,3,6.749900,0.107000,2.468000,true,6,32,12,120
world2_normal_600,600,400,600,375,4,6.952000,0.093200,2.332300,true,6,32,12,120
