case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world2_normal_960,960,600,960,600,0,9.120800,0.138800,1.448300,true,6,32,12,120
world2_normal_960,960,600,960,600,1,8.373200,0.095600,1.257300,true,6,32,12,120
world2_normal_960,960,600,960,600,2,8.358900,0.115400,1.395300,true,6,32,12,120
world2_normal_960,960,600,960,600,3,8.222300,0.107600,1.432400,true,6,32,12,120
world2_normal_960,960,600,960,600,4,8.210400,0.167700,1.295200,true,6,32,12,120
world2_normal_960,960,600,960,600,5,8.026000,0.176000,1.286700,true,6,32,12,120
world2_normal_960,960,600,960,600,6,8.375100,0.129200,1.549000,true,6,32,12,120
world2_normal_960,960,600,960,600,7,7.883800,0.102700,1.432800,true,6,32,12,120
world2_normal_960,960,600,960,600,8,7.804700,0.122100,1.475000,true,6,32,12,120
world2_normal_960,960,600,960,600,9,7.907400,0.109200,1.430500,true,6,32,12,120
world2_normal_960,960,600,960,600,10,8.469800,0.103900,1.292600,true,6,32,12,120
world2_normal_960,960,600,960,600,11,7.744800,0.117200,1.559600,true,6,32,12,120
world2_normal_960,960,600,960,600,12,7.986000,0.126600,1.311300,true,6,32,12,120
world2_normal_960,960,600,960,600,13,8.053600,0.165200,1.473300,true,6,32,12,120
world2_normal_960,960,600,960,600,14,8.365400,0.123500,1.465400,true,6,32,12,120
world2_normal_960,960,600,960,600,15,8.076400,0.108400,1.309600,true,6,32,12,120
world2_normal_960,960,600,960,600,16,8.345500,0.178800,1.580600,true,6,32,12,120
world2_normal_960,960,600,960,600,17,8.318100,0.169100,1.555000,true,6,32,12,120
world2_normal_960,960,600,960,600,18,8.531500,0.109900,1.294600,true,6,32,12,120
world2_normal_960,960,600,960,600,19,10.920900,0.115600,1.285900,true,6,32,12,120
world2_normal_960,960,600,960,600,20,8.408500,0.125300,1.569700,true,6,32,12,120
world2_normal_960,960,600,960,600,21,8.918100,0.107500,1.452600,true,6,32,12,120
world2_normal_960,960,600,960,600,22,8.791000,0.100700,1.346900,true,6,32,12,120
world2_normal_960,960,600,960,600,23,8.182100,0.114400,1.275100,true,6,32,12,120
world2_normal_960,960,600,960,600,24,8.598700,0.103400,1.531400,true,6,32,12,120
world2_normal_960,960,600,960,600,25,7.842800,0.110200,1.393600,true,6,32,12,120
world2_normal_960,960,600,960,600,26,7.735100,0.213900,1.517200,true,6,32,12,120
world2_normal_960,960,600,960,600,27,7.526700,0.118500,1.254800,true,6,32,12,120
world2_normal_960,960,600,960,600,28,7.329500,0.112900,1.554200,true,6,32,12,120
world2_normal_960,960,600,960,600,29,8.824400,0.107900,1.342000,true,6,32,12,120
world2_normal_960,960,600,960,600,30,8.554900,0.105400,1.247700,true,6,32,12,120
world2_normal_960,960,600,960,600,31,7.516600,0.097000,1.511500,true,6,32,12,120
world2_normal_960,960,600,960,600,32,7.789300,0.110600,1.419300,true,6,32,12,120
world2_normal_960,960,600,960,600,33,7.545300,0.113000,1.476500,true,6,32,12,120
world2_normal_960,960,600,960,600,34,7.460900,0.099500,1.236900,true,6,32,12,120
world2_normal_960,960,600,960,600,35,7.531400,0.151300,1.418500,true,6,32,12,120
world2_normal_960,960,600,960,600,36,7.511800,0.139000,1.523600,true,6,32,12,120
world2_normal_960,960,600,960,600,37,7.512900,0.142100,1.513300,true,6,32,12,120
world2_normal_960,960,600,960,600,38,7.637000,0.138800,1.249700,true,6,32,12,120
world2_normal_960,960,600,960,600,39,7.962100,0.111200,1.265000,true,6,32,12,120
world2_normal_960,960,600,960,600,40,8.416600,0.115000,1.546800,true,6,32,12,120
world2_normal_960,960,600,960,600,41,8.289900,0.099800,1.528100,true,6,32,12,120
world2_normal_960,960,600,960,600,42,7.684700,0.123900,1.466800,true,6,32,12,120
world2_normal_960,960,600,960,600,43,7.507000,0.112800,1.371100,true,6,32,12,120
world2_normal_960,960,600,960,600,44,7.293400,0.115200,1.818400,true,6,32,12,120
world2_normal_960,960,600,960,600,45,7.487000,0.114300,1.492600,true,6,32,12,120
world2_normal_960,960,600,960,600,46,7.393200,0.131100,1.374400,true,6,32,12,120
world2_normal_960,960,600,960,600,47,8.326400,0.117300,1.512900,true,6,32,12,120
world2_normal_960,960,600,960,600,48,7.608700,0.158300,1.246200,true,6,32,12,120
world2_normal_960,960,600,960,600,49,7.857600,0.104900,1.386800,true,6,32,12,120
world2_normal_960,960,600,960,600,50,7.562400,0.102700,1.256600,true,6,32,12,120
world2_normal_960,960,600,960,600,51,7.516500,0.098100,1.230000,true,6,32,12,120
world2_normal_960,960,600,960,600,52,8.484500,0.098700,1.245100,true,6,32,12,120
world2_normal_960,960,600,960,600,53,7.592000,0.103400,1.289600,true,6,32,12,120
world2_normal_960,960,600,960,600,54,8.267300,0.114300,1.405300,true,6,32,12,120
world2_normal_960,960,600,960,600,55,8.068500,0.137800,1.295500,true,6,32,12,120
world2_normal_960,960,600,960,600,56,8.211200,0.104000,1.365600,true,6,32,12,120
world2_normal_960,960,600,960,600,57,8.299000,0.122900,1.394600,true,6,32,12,120
world2_normal_960,960,600,960,600,58,7.318100,0.127000,1.369700,true,6,32,12,120
world2_normal_960,960,600,960,600,59,8.624700,0.109900,1.263100,true,6,32,12,120
world2_normal_960,960,600,960,600,60,7.384900,0.174400,1.393000,true,6,32,12,120
world2_normal_960,960,600,960,600,61,7.847800,0.114100,1.406300,true,6,32,12,120
world2_normal_960,960,600,960,600,62,7.388700,0.115800,1.266600,true,6,32,12,120
world2_normal_960,960,600,960,600,63,8.016400,0.111000,1.499900,true,6,32,12,120
world2_normal_960,960,600,960,600,64,7.288000,0.126900,1.358700,true,6,32,12,120
world2_normal_960,960,600,960,600,65,7.321900,0.116900,1.342800,true,6,32,12,120
world2_normal_960,960,600,960,600,66,7.407000,0.114700,1.398900,true,6,32,12,120
world2_normal_960,960,600,960,600,67,7.566800,0.107800,1.330400,true,6,32,12,120
world2_normal_960,960,600,960,600,68,7.381100,0.154000,1.411300,true,6,32,12,120
world2_normal_960,960,600,960,600,69,8.048400,0.122000,1.428900,true,6,32,12,120
world2_normal_960,960,600,960,600,70,7.403200,0.121400,1.241400,true,6,32,12,120
world2_normal_960,960,600,960,600,71,9.305600,0.164800,2.630300,true,6,32,13,120
world2_normal_960,960,600,960,600,72,8.126500,0.101800,1.489200,true,6,32,12,120
world2_normal_960,960,600,960,600,73,7.680800,0.099600,1.323500,true,6,32,12,120
world2_normal_960,960,600,960,600,74,7.383300,0.116500,1.432900,true,6,32,12,120
world2_normal_960,960,600,960,600,75,8.029000,0.101500,1.269400,true,6,32,13,120
world2_normal_960,960,600,960,600,76,7.177500,0.104500,1.657800,true,6,32,12,120
world2_normal_960,960,600,960,600,77,7.528400,0.108500,1.293000,true,6,32,12,120
world2_normal_960,960,600,960,600,78,8.318700,0.100900,1.406600,true,6,32,12,120
world2_normal_960,960,600,960,600,79,7.391300,0.133900,1.255400,true,6,32,12,120
world2_normal_960,960,600,960,600,80,8.902100,0.377700,1.408900,true,6,32,12,120
world2_normal_960,960,600,960,600,81,13.393900,0.206500,1.398200,true,6,32,12,120
world2_normal_960,960,600,960,600,82,9.447900,0.156300,1.274000,true,6,32,12,120
world2_normal_960,960,600,960,600,83,8.837300,0.104100,1.370700,true,6,32,12,120
world2_normal_960,960,600,960,600,84,8.265600,0.102000,2.284300,true,6,32,12,120
world2_normal_960,960,600,960,600,85,7.569500,0.111100,1.427200,true,6,32,12,120
world2_normal_960,960,600,960,600,86,7.231000,0.117400,1.443600,true,6,32,12,120
world2_normal_960,960,600,960,600,87,7.627800,0.118000,1.432200,true,6,32,12,120
world2_normal_960,960,600,960,600,88,7.297300,0.115400,1.606300,true,6,32,12,120
world2_normal_960,960,600,960,600,89,8.091100,0.127000,1.528200,true,6,32,12,120
world2_normal_960,960,600,960,600,90,8.047300,0.119600,1.296800,true,6,32,12,120
world2_normal_960,960,600,960,600,91,7.820600,0.109400,1.549600,true,6,32,12,120
world2_normal_960,960,600,960,600,92,7.407700,0.114100,1.259200,true,6,32,12,120
world2_normal_960,960,600,960,600,93,7.756800,0.099800,1.499800,true,6,32,12,120
world2_normal_960,960,600,960,600,94,8.385800,0.121300,1.330200,true,6,32,12,120
world2_normal_960,960,600,960,600,95,7.805600,0.109600,1.427100,true,6,32,12,120
world2_normal_960,960,600,960,600,96,7.497000,0.141500,1.251300,true,6,32,12,120
world2_normal_960,960,600,960,600,97,6.952600,0.112700,1.500200,true,6,32,12,120
world2_normal_960,960,600,960,600,98,7.023800,0.110100,1.349000,true,6,32,12,120
world2_normal_960,960,600,960,600,99,7.329900,0.105100,1.430800,true,6,32,12,120
world2_normal_960,960,600,960,600,100,7.319300,0.118900,1.456500,true,6,32,12,120
world2_normal_960,960,600,960,600,101,7.873900,0.101800,1.505000,true,6,32,12,120
world2_normal_960,960,600,960,600,102,6.880700,0.098200,1.249400,true,6,32,12,120
world2_normal_960,960,600,960,600,103,6.820000,0.107200,1.514400,true,6,32,13,120
world2_normal_960,960,600,960,600,104,6.877800,0.112100,1.514300,true,6,32,12,120
world2_normal_960,960,600,960,600,105,6.871900,0.120800,1.451400,true,6,32,12,120
world2_normal_960,960,600,960,600,106,6.982000,0.161500,1.402100,true,6,32,12,120
world2_normal_960,960,600,960,600,107,7.125500,0.167100,1.415000,true,6,32,12,120
world2_normal_960,960,600,960,600,108,7.023400,0.106700,1.449400,true,6,32,12,120
world2_normal_960,960,600,960,600,109,7.366400,0.094900,1.254400,true,6,32,12,120
world2_normal_960,960,600,960,600,110,7.030400,0.096300,1.408900,true,6,32,12,120
world2_normal_960,960,600,960,600,111,7.528300,0.108400,1.291600,true,6,32,12,120
world2_normal_960,960,600,960,600,112,6.964200,0.103000,1.411500,true,6,32,12,120
world2_normal_960,960,600,960,600,113,7.661200,0.136800,1.479500,true,6,32,12,120
world2_normal_960,960,600,960,600,114,7.088500,0.094800,1.314000,true,6,32,12,120
world2_normal_960,960,600,960,600,115,7.312500,0.133300,1.965100,true,6,32,12,120
world2_normal_960,960,600,960,600,116,7.111100,0.097100,1.248700,true,6,32,12,120
world2_normal_960,960,600,960,600,117,7.393900,0.130600,1.958300,true,6,32,12,120
world2_normal_960,960,600,960,600,118,8.640100,0.110200,1.419800,true,6,32,12,120
