case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world2_normal_960,960,600,960,600,0,8.230800,0.107500,1.319700,true,6,32,12,120
world2_normal_960,960,600,960,600,1,9.556100,0.128900,1.344100,true,6,32,12,120
world2_normal_960,960,600,960,600,2,8.827600,0.173100,1.504300,true,6,32,12,120
world2_normal_960,960,600,960,600,3,9.661100,0.267200,1.401600,true,6,32,12,120
world2_normal_960,960,600,960,600,4,9.801500,0.104400,1.602800,true,6,32,12,120
world2_normal_960,960,600,960,600,5,9.610000,0.102200,1.299800,true,6,32,12,120
world2_normal_960,960,600,960,600,6,8.701400,0.126100,1.401000,true,6,32,12,120
world2_normal_960,960,600,960,600,7,8.561900,0.110300,1.358400,true,6,32,12,120
world2_normal_960,960,600,960,600,8,9.189700,0.103000,1.323600,true,6,32,12,120
world2_normal_960,960,600,960,600,9,8.758700,0.107700,1.514500,true,6,32,12,120
world2_normal_960,960,600,960,600,10,8.034800,0.114300,2.153100,true,6,32,12,120
world2_normal_960,960,600,960,600,11,8.525000,0.157900,1.467700,true,6,32,12,120
world2_normal_960,960,600,960,600,12,7.780400,0.107200,1.402000,true,6,32,12,120
world2_normal_960,960,600,960,600,13,7.707100,0.107800,1.500900,true,6,32,12,120
world2_normal_960,960,600,960,600,14,7.772700,0.108000,1.562600,true,6,32,12,120
world2_normal_960,960,600,960,600,15,8.120300,0.101600,1.472200,true,6,32,12,120
world2_normal_960,960,600,960,600,16,7.928200,0.105700,1.304400,true,6,32,12,120
world2_normal_960,960,600,960,600,17,7.839700,0.108600,1.429100,true,6,32,12,120
world2_normal_960,960,600,960,600,18,8.918100,0.098500,1.479700,true,6,32,12,120
world2_normal_960,960,600,960,600,19,7.856900,0.175000,1.314900,true,6,32,12,120
world2_normal_960,960,600,960,600,20,8.042200,0.150400,1.764500,true,6,32,12,120
world2_normal_960,960,600,960,600,21,7.771700,0.154900,1.368100,true,6,32,12,120
world2_normal_960,960,600,960,600,22,8.163600,0.117900,1.795500,true,6,32,12,120
world2_normal_960,960,600,960,600,23,8.069700,0.166500,1.463600,true,6,32,12,120
world2_normal_960,960,600,960,600,24,8.544200,0.100400,1.320500,true,6,32,12,120
world2_normal_960,960,600,960,600,25,8.761700,0.104600,1.515700,true,6,32,12,120
world2_normal_960,960,600,960,600,26,8.504300,0.094500,1.272000,true,6,32,12,120
world2_normal_960,960,600,960,600,27,9.201200,0.109200,1.302000,true,6,32,12,120
world2_normal_960,960,600,960,600,28,7.709200,0.123200,1.856000,true,6,32,12,120
world2_normal_960,960,600,960,600,29,8.083800,0.151400,1.458300,true,6,32,12,120
world2_normal_960,960,600,960,600,30,8.307400,0.135900,1.410500,true,6,32,12,120
world2_normal_960,960,600,960,600,31,7.745900,0.095000,1.324800,true,6,32,12,120
world2_normal_960,960,600,960,600,32,8.097800,0.101900,1.279900,true,6,32,12,120
world2_normal_960,960,600,960,600,33,8.034300,0.159100,1.338000,true,6,32,12,120
world2_normal_960,960,600,960,600,34,7.421700,0.102000,1.329600,true,6,32,12,120
world2_normal_960,960,600,960,600,35,8.231100,0.106100,1.302000,true,6,32,12,120
world2_normal_960,960,600,960,600,36,7.723300,0.117100,1.502300,true,6,32,12,120
world2_normal_960,960,600,960,600,37,8.600500,0.100200,1.291100,true,6,32,12,120
world2_normal_960,960,600,960,600,38,7.742800,0.105200,1.479700,true,6,32,12,120
world2_normal_960,960,600,960,600,39,7.454900,0.098600,1.282900,true,6,32,12,120
world2_normal_960,960,600,960,600,40,8.110500,0.108400,1.506800,true,6,32,12,120
world2_normal_960,960,600,960,600,41,8.250900,0.136200,1.464500,true,6,32,12,120
world2_normal_960,960,600,960,600,42,7.863800,0.121500,1.351800,true,6,32,12,120
world2_normal_960,960,600,960,600,43,7.761600,0.110500,1.496500,true,6,32,12,120
world2_normal_960,960,600,960,600,44,7.777900,0.134100,1.429200,true,6,32,12,120
world2_normal_960,960,600,960,600,45,7.589900,0.136100,1.762600,true,6,32,12,120
world2_normal_960,960,600,960,600,46,10.674700,0.123600,1.438000,true,6,32,12,120
world2_normal_960,960,600,960,600,47,7.580700,0.108900,1.546600,true,6,32,12,120
world2_normal_960,960,600,960,600,48,8.557300,0.097700,1.305400,true,6,32,12,120
world2_normal_960,960,600,960,600,49,7.403700,0.101400,1.510300,true,6,32,12,120
world2_normal_960,960,600,960,600,50,7.917300,0.101300,1.336300,true,6,32,12,120
world2_normal_960,960,600,960,600,51,7.593600,0.098300,1.385700,true,6,32,12,120
world2_normal_960,960,600,960,600,52,7.682800,0.109500,1.289900,true,6,32,12,120
world2_normal_960,960,600,960,600,53,8.078200,0.098300,1.784300,true,6,32,12,120
world2_normal_960,960,600,960,600,54,7.583300,0.119400,1.548700,true,6,32,12,120
world2_normal_960,960,600,960,600,55,7.295000,0.139200,1.625000,true,6,32,12,120
world2_normal_960,960,600,960,600,56,9.542400,0.096700,1.438200,true,6,32,13,120
world2_normal_960,960,600,960,600,57,8.319700,0.109500,1.331500,true,6,32,12,120
world2_normal_960,960,600,960,600,58,7.641100,0.108600,1.511400,true,6,32,12,120
world2_normal_960,960,600,960,600,59,7.512100,0.101500,1.385100,true,6,32,12,120
world2_normal_960,960,600,960,600,60,7.968000,0.108300,1.320700,true,6,32,13,120
world2_normal_960,960,600,960,600,61,7.202800,0.103700,1.345500,true,6,32,12,120
world2_normal_960,960,600,960,600,62,7.802700,0.110700,1.344800,true,6,32,12,120
world2_normal_960,960,600,960,600,63,7.789900,0.098400,1.270700,true,6,32,12,120
world2_normal_960,960,600,960,600,64,7.821700,0.150700,1.332700,true,6,32,12,120
world2_normal_960,960,600,960,600,65,8.876400,0.152400,1.606900,true,6,32,12,120
world2_normal_960,960,600,960,600,66,9.015400,0.175400,1.307700,true,6,32,12,120
world2_normal_960,960,600,960,600,67,9.534500,0.148000,1.292700,true,6,32,12,120
world2_normal_960,960,600,960,600,68,8.975900,0.111900,2.434500,true,6,32,12,120
world2_normal_960,960,600,960,600,69,8.554600,0.115300,1.434800,true,6,32,12,120
world2_normal_960,960,600,960,600,70,8.270800,0.112400,1.684000,true,6,32,12,120
world2_normal_960,960,600,960,600,71,8.001700,0.105900,1.356800,true,6,32,12,120
world2_normal_960,960,600,960,600,72,7.941000,0.121000,2.516400,true,6,32,12,120
world2_normal_960,960,600,960,600,73,7.685400,0.097800,1.351300,true,6,32,12,120
world2_normal_960,960,600,960,600,74,8.880500,0.104100,1.551400,true,6,32,12,120
world2_normal_960,960,600,960,600,75,9.775400,0.106700,1.479300,true,6,32,12,120
world2_normal_960,960,600,960,600,76,7.662500,0.097100,1.356000,true,6,32,12,120
world2_normal_960,960,600,960,600,77,9.422400,0.102300,1.501500,true,6,32,12,120
world2_normal_960,960,600,960,600,78,7.806800,0.101800,1.465100,true,6,32,12,120
world2_normal_960,960,600,960,600,79,9.410600,0.109800,1.622200,true,6,32,12,120
world2_normal_960,960,600,960,600,80,7.454800,0.100800,1.375200,true,6,32,12,120
world2_normal_960,960,600,960,600,81,7.588200,0.199600,1.425500,true,6,32,12,120
world2_normal_960,960,600,960,600,82,7.474200,0.100900,1.262600,true,6,32,12,120
world2_normal_960,960,600,960,600,83,7.536900,0.138600,1.320000,true,6,32,12,120
world2_normal_960,960,600,960,600,84,7.752600,0.094100,1.297800,true,6,32,12,120
world2_normal_960,960,600,960,600,85,7.827900,0.113300,1.357500,true,6,32,12,120
world2_normal_960,960,600,960,600,86,7.677300,0.109500,1.376300,true,6,32,12,120
world2_normal_960,960,600,960,600,87,7.922300,0.105700,1.268700,true,6,32,12,120
world2_normal_960,960,600,960,600,88,7.649400,0.099300,1.706700,true,6,32,13,120
world2_normal_960,960,600,960,600,89,7.666400,0.093500,1.265400,true,6,32,12,120
world2_normal_960,960,600,960,600,90,7.055600,0.101000,1.455000,true,6,32,12,120
world2_normal_960,960,600,960,600,91,7.735900,0.187100,1.325100,true,6,32,12,120
world2_normal_960,960,600,960,600,92,7.972100,0.127800,1.464300,true,6,32,12,120
world2_normal_960,960,600,960,600,93,7.195700,0.098800,1.339500,true,6,32,12,120
world2_normal_960,960,600,960,600,94,7.729300,0.105700,1.717400,true,6,32,12,120
world2_normal_960,960,600,960,600,95,7.715600,0.096600,1.531900,true,6,32,12,120
world2_normal_960,960,600,960,600,96,7.682300,0.120700,1.970100,true,6,32,12,120
world2_normal_960,960,600,960,600,97,7.128100,0.096800,1.401900,true,6,32,12,120
world2_normal_960,960,600,960,600,98,7.909000,0.117100,1.500400,true,6,32,12,120
world2_normal_960,960,600,960,600,99,7.298900,0.101600,1.542100,true,6,32,12,120
world2_normal_960,960,600,960,600,100,7.694000,0.127500,1.789500,true,6,32,12,120
world2_normal_960,960,600,960,600,101,7.853400,0.100900,1.502900,true,6,32,12,120
world2_normal_960,960,600,960,600,102,8.072200,0.106400,1.520400,true,6,32,12,120
world2_normal_960,960,600,960,600,103,7.800000,0.098000,1.601000,true,6,32,12,120
world2_normal_960,960,600,960,600,104,8.707200,0.218300,1.586200,true,6,32,12,120
world2_normal_960,960,600,960,600,105,9.086600,0.117300,1.311500,true,6,32,12,120
world2_normal_960,960,600,960,600,106,8.065200,0.131300,1.630800,true,6,32,12,120
world2_normal_960,960,600,960,600,107,7.688400,0.113500,1.598900,true,6,32,12,120
world2_normal_960,960,600,960,600,108,8.237700,0.120800,2.329200,true,6,32,12,120
world2_normal_960,960,600,960,600,109,8.283500,0.140800,1.400200,true,6,32,12,120
world2_normal_960,960,600,960,600,110,8.921900,0.111100,1.600500,true,6,32,12,120
world2_normal_960,960,600,960,600,111,8.210300,0.102800,1.344300,true,6,32,12,120
world2_normal_960,960,600,960,600,112,7.904100,0.109600,1.592300,true,6,32,12,120
world2_normal_960,960,600,960,600,113,8.148500,0.101400,1.677800,true,6,32,12,120
world2_normal_960,960,600,960,600,114,8.510900,0.093200,1.326100,true,6,32,12,120
world2_normal_960,960,600,960,600,115,8.344700,0.118000,1.539800,true,6,32,12,120
world2_normal_960,960,600,960,600,116,8.086400,0.094000,1.718100,true,6,32,12,120
world2_normal_960,960,600,960,600,117,7.855700,0.134300,1.528700,true,6,32,12,120
world2_normal_960,960,600,960,600,118,7.569200,0.101200,1.548200,true,6,32,12,120
world2_normal_960,960,600,960,600,119,7.378600,0.097300,1.494600,true,6,32,12,120
world2_normal_960,960,600,960,600,120,7.901600,0.098300,1.565900,true,6,32,12,120
world2_normal_960,960,600,960,600,121,7.576400,0.105900,1.336900,true,6,32,12,120
world2_normal_960,960,600,960,600,122,7.324000,0.101700,1.561500,true,6,32,12,120
world2_normal_960,960,600,960,600,123,7.778000,0.109000,1.332400,true,6,32,12,120
world2_normal_960,960,600,960,600,124,7.505500,0.106400,1.340200,true,6,32,12,120
world2_normal_960,960,600,960,600,125,7.031700,0.098700,1.487700,true,6,32,12,120
world2_normal_960,960,600,960,600,126,7.359000,0.102900,1.577400,true,6,32,12,120
world2_normal_960,960,600,960,600,127,7.413900,0.116200,1.825200,true,6,32,12,120
world2_normal_960,960,600,960,600,128,8.297800,0.108600,1.494600,true,6,32,12,120
world2_normal_960,960,600,960,600,129,7.560100,0.114800,1.767700,true,6,32,12,120
world2_normal_960,960,600,960,600,130,7.958500,0.101400,1.468800,true,6,32,12,120
world2_normal_960,960,600,960,600,131,8.668300,0.112700,1.412800,true,6,32,12,120
world2_normal_960,960,600,960,600,132,7.901200,0.113900,1.464700,true,6,32,12,120
world2_normal_960,960,600,960,600,133,7.749000,0.100100,1.433700,true,6,32,12,120
world2_normal_960,960,600,960,600,134,7.936800,0.130400,1.416000,true,6,32,12,120
world2_normal_960,960,600,960,600,135,7.117100,0.139700,1.354000,true,6,32,12,120
world2_normal_960,960,600,960,600,136,7.377800,0.102400,1.497700,true,6,32,12,120
world2_normal_960,960,600,960,600,137,7.181600,0.099600,1.436400,true,6,32,12,120
world2_normal_960,960,600,960,600,138,7.894800,0.123900,1.614400,true,6,32,12,120
world2_normal_960,960,600,960,600,139,7.474300,0.110600,1.640900,true,6,32,12,120
world2_normal_960,960,600,960,600,140,7.431000,0.120000,1.320200,true,6,32,12,120
world2_normal_960,960,600,960,600,141,7.219500,0.102200,1.479600,true,6,32,12,120
world2_normal_960,960,600,960,600,142,7.193700,0.113900,1.720100,true,6,32,12,120
world2_normal_960,960,600,960,600,143,7.077700,0.093500,1.682600,true,6,32,12,120
world2_normal_960,960,600,960,600,144,7.761800,0.135200,1.371500,true,6,32,12,120
world2_normal_960,960,600,960,600,145,7.250900,0.107200,1.462800,true,6,32,12,120
world2_normal_960,960,600,960,600,146,7.752400,0.123500,1.565600,true,6,32,12,120
world2_normal_960,960,600,960,600,147,7.141800,0.111400,1.389900,true,6,32,12,120
world2_normal_960,960,600,960,600,148,8.212100,0.143000,2.408700,true,6,32,12,120
world2_normal_960,960,600,960,600,149,7.957100,0.144400,1.732900,true,6,32,12,120
world2_normal_960,960,600,960,600,150,9.702000,0.096700,1.327500,true,6,32,12,120
world2_normal_960,960,600,960,600,151,7.905000,0.147000,1.327100,true,6,32,12,120
world2_normal_960,960,600,960,600,152,7.270800,0.141100,1.781800,true,6,32,12,120
world2_normal_960,960,600,960,600,153,7.579600,0.117800,1.477500,true,6,32,12,120
world2_normal_960,960,600,960,600,154,7.491800,0.202300,1.491200,true,6,32,12,120
world2_normal_960,960,600,960,600,155,8.093500,0.109300,1.489300,true,6,32,12,120
world2_normal_960,960,600,960,600,156,7.786900,0.114600,1.371000,true,6,32,12,120
world2_normal_960,960,600,960,600,157,7.190300,0.095400,1.299000,true,6,32,12,120
world2_normal_960,960,600,960,600,158,7.217700,0.105800,2.456300,true,6,32,12,120
world2_normal_960,960,600,960,600,159,7.962000,0.105900,1.415500,true,6,32,12,120
world2_normal_960,960,600,960,600,160,7.773000,0.169400,1.452400,true,6,32,12,120
world2_normal_960,960,600,960,600,161,7.279600,0.105800,1.496300,true,6,32,12,120
world2_normal_960,960,600,960,600,162,7.421200,0.122900,1.326900,true,6,32,12,120
world2_normal_960,960,600,960,600,163,7.838100,0.097900,1.282700,true,6,32,12,120
world2_normal_960,960,600,960,600,164,7.844900,0.133200,1.401400,true,6,32,12,120
world2_normal_960,960,600,960,600,165,7.649800,0.104200,1.364100,true,6,32,12,120
world2_normal_960,960,600,960,600,166,7.828100,0.120900,1.333200,true,6,32,13,120
world2_normal_960,960,600,960,600,167,8.019300,0.115300,1.492300,true,6,32,12,120
world2_normal_960,960,600,960,600,168,9.422400,0.116400,1.370700,true,6,32,12,120
world2_normal_960,960,600,960,600,169,7.495800,0.105000,1.358200,true,6,32,12,120
world2_normal_960,960,600,960,600,170,7.558600,0.099100,1.585900,true,6,32,13,120
world2_normal_960,960,600,960,600,171,6.853300,0.108500,1.267100,true,6,32,12,120
world2_normal_960,960,600,960,600,172,6.935000,0.093400,1.346900,true,6,32,12,120
world2_normal_960,960,600,960,600,173,7.041300,0.107500,1.398300,true,6,32,12,120
world2_normal_960,960,600,960,600,174,7.542300,0.097300,1.272900,true,6,32,12,120
world2_normal_960,960,600,960,600,175,7.058200,0.104200,1.578100,true,6,32,12,120
world2_normal_960,960,600,960,600,176,6.869600,0.096000,1.295100,true,6,32,12,120
world2_normal_960,960,600,960,600,177,7.414700,0.102400,1.340400,true,6,32,12,120
world2_normal_960,960,600,960,600,178,8.255500,0.098100,1.311900,true,6,32,12,120
world2_normal_960,960,600,960,600,179,7.624100,0.097400,1.571400,true,6,32,12,120
world2_normal_960,960,600,960,600,180,7.423000,0.117100,1.457800,true,6,32,12,120
world2_normal_600,600,400,600,375,0,7.195900,0.111500,2.507800,true,6,32,12,120
world2_normal_600,600,400,600,375,1,6.915900,0.101100,2.356600,true,6,32,12,120
world2_normal_600,600,400,600,375,2,7.129900,0.109900,2.432000,true,6,32,12,120
world2_normal_600,600,400,600,375,3,7.062600,0.105400,2.319900,true,6,32,12,120
world2_normal_600,600,400,600,375,4,7.008100,0.108900,2.403200,true,6,32,12,120
world2_normal_600,600,400,600,375,5,6.964100,0.124800,2.493100,true,6,32,12,120
