case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world2_normal_960,960,600,960,600,0,10.497500,0.106900,2.431200,true,6,32,12,120
world2_normal_960,960,600,960,600,1,9.903200,0.100600,1.504600,true,6,32,12,120
world2_normal_960,960,600,960,600,2,9.263600,0.112200,1.656300,true,6,32,12,120
world2_normal_960,960,600,960,600,3,7.781400,0.129500,1.305700,true,6,32,12,120
world2_normal_960,960,600,960,600,4,8.370200,0.095200,1.431100,true,6,32,12,120
world2_normal_960,960,600,960,600,5,8.589000,0.099500,1.267100,true,6,32,12,120
world2_normal_960,960,600,960,600,6,9.122500,0.158400,1.460300,true,6,32,12,120
world2_normal_960,960,600,960,600,7,7.540900,0.098300,1.237700,true,6,32,12,120
world2_normal_960,960,600,960,600,8,8.234200,0.106700,1.245200,true,6,32,12,120
world2_normal_960,960,600,960,600,9,7.518800,0.097300,1.580500,true,6,32,12,120
world2_normal_960,960,600,960,600,10,8.844200,0.099000,1.299100,true,6,32,12,120
world2_normal_960,960,600,960,600,11,7.790100,0.112800,1.366400,true,6,32,12,120
world2_normal_960,960,600,960,600,12,7.978500,0.114300,1.384700,true,6,32,12,120
world2_normal_960,960,600,960,600,13,8.160900,0.108900,1.252900,true,6,32,12,120
world2_normal_960,960,600,960,600,14,7.916900,0.095300,1.470500,true,6,32,12,120
world2_normal_960,960,600,960,600,15,7.512900,0.138300,1.255000,true,6,32,12,120
world2_normal_960,960,600,960,600,16,7.960000,0.159600,1.483400,true,6,32,12,120
world2_normal_960,960,600,960,600,17,7.577000,0.102800,1.288000,true,6,32,12,120
world2_normal_960,960,600,960,600,18,8.345200,0.173800,1.449400,true,6,32,12,120
world2_normal_960,960,600,960,600,19,11.866300,0.102700,1.241800,true,6,32,12,120
world2_normal_960,960,600,960,600,20,8.368700,0.099800,1.396600,true,6,32,12,120
world2_normal_960,960,600,960,600,21,7.883100,0.106000,1.452600,true,6,32,12,120
world2_normal_960,960,600,960,600,22,8.039300,0.107800,1.321500,true,6,32,12,120
world2_normal_960,960,600,960,600,23,7.504900,0.106300,1.463100,true,6,32,12,120
world2_normal_960,960,600,960,600,24,7.997400,0.144700,1.285200,true,6,32,12,120
