case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world2_normal_960,960,600,960,600,0,8.971000,0.104800,2.434400,true,6,32,12,120
world2_normal_960,960,600,960,600,1,9.130800,0.100000,1.324000,true,6,32,12,120
world2_normal_960,960,600,960,600,2,8.503300,0.097100,1.482000,true,6,32,12,120
world2_normal_960,960,600,960,600,3,8.201900,0.098600,1.444100,true,6,32,12,120
world2_normal_960,960,600,960,600,4,8.242700,0.116900,1.553700,true,6,32,12,120
world2_normal_960,960,600,960,600,5,8.364800,0.106400,1.479400,true,6,32,12,120
world2_normal_960,960,600,960,600,6,8.405400,0.098400,1.284500,true,6,32,12,120
world2_normal_960,960,600,960,600,7,8.326100,0.118100,2.405600,true,6,32,12,120
world2_normal_960,960,600,960,600,8,8.814600,0.181500,1.482200,true,6,32,12,120
world2_normal_960,960,600,960,600,9,8.759800,0.119500,1.478200,true,6,32,12,120
world2_normal_960,960,600,960,600,10,8.136500,0.112300,1.375400,true,6,32,12,120
world2_normal_960,960,600,960,600,11,8.168300,0.102800,1.652700,true,6,32,12,120
world2_normal_960,960,600,960,600,12,8.256800,0.107800,1.347900,true,6,32,12,120
world2_normal_960,960,600,960,600,13,8.282000,0.113600,1.373800,true,6,32,12,120
world2_normal_960,960,600,960,600,14,8.084300,0.098500,1.509800,true,6,32,12,120
world2_normal_960,960,600,960,600,15,7.968200,0.095300,1.510800,true,6,32,12,120
world2_normal_960,960,600,960,600,16,9.386500,0.122800,1.338900,true,6,32,12,120
world2_normal_960,960,600,960,600,17,8.022100,0.147400,1.419400,true,6,32,12,120
world2_normal_960,960,600,960,600,18,8.115500,0.109700,1.419300,true,6,32,12,120
world2_normal_960,960,600,960,600,19,8.368500,0.153000,1.297500,true,6,32,12,120
world2_normal_960,960,600,960,600,20,8.434300,0.105800,1.292800,true,6,32,12,120
world2_normal_960,960,600,960,600,21,8.402000,0.099400,1.460200,true,6,32,12,120
world2_normal_960,960,600,960,600,22,8.411200,0.111000,1.543300,true,6,32,12,120
world2_normal_960,960,600,960,600,23,7.987400,0.105800,1.490700,true,6,32,12,120
world2_normal_960,960,600,960,600,24,8.226400,0.107600,1.470900,true,6,32,12,120
world2_normal_960,960,600,960,600,25,8.110300,0.124100,1.386000,true,6,32,12,120
world2_normal_960,960,600,960,600,26,8.854600,0.108600,1.461200,true,6,32,12,120
world2_normal_960,960,600,960,600,27,8.262400,0.114300,1.596800,true,6,32,12,120
world2_normal_960,960,600,960,600,28,8.327800,0.125800,1.516500,true,6,32,12,120
