tick,role,input,action,x,y,grounded,crouching,facing,aimX,aimY,phase,shotSequence,hp,muzzleX,muzzleY
0,REPAIR,RUN_RIGHT,RUN,605.000,270.000,true,false,1,1.00000,0.00000,0.78540,1,100,638.000,270.000
0,SCOUT,RUN_RIGHT,RUN,605.650,270.000,true,false,1,1.00000,0.00000,0.88750,1,100,638.650,270.000
0,WARDEN,RUN_RIGHT,RUN,604.350,270.000,true,false,1,1.00000,0.00000,0.68330,1,100,637.350,270.000
0,ENGINEER,RUN_RIGHT,RUN,604.800,270.000,true,false,1,1.00000,0.00000,0.75398,1,100,637.800,270.000
1,REPAIR,RUN_RIGHT,RUN,610.000,270.000,true,false,1,1.00000,0.00000,1.57080,1,100,643.000,270.000
1,SCOUT,RUN_RIGHT,RUN,611.300,270.000,true,false,1,1.00000,0.00000,1.77500,1,100,644.300,270.000
1,WARDEN,RUN_RIGHT,RUN,608.700,270.000,true,false,1,1.00000,0.00000,1.36659,1,100,641.700,270.000
1,ENGINEER,RUN_RIGHT,RUN,609.600,270.000,true,false,1,1.00000,0.00000,1.50796,1,100,642.600,270.000
2,REPAIR,RUN_RIGHT,RUN,615.000,270.000,true,false,1,1.00000,0.00000,2.35619,1,100,648.000,270.000
2,SCOUT,RUN_RIGHT,RUN,616.950,270.000,true,false,1,1.00000,0.00000,2.66250,1,100,649.950,270.000
2,WARDEN,RUN_RIGHT,RUN,613.050,270.000,true,false,1,1.00000,0.00000,2.04989,1,100,646.050,270.000
2,ENGINEER,RUN_RIGHT,RUN,614.400,270.000,true,false,1,1.00000,0.00000,2.26195,1,100,647.400,270.000
3,REPAIR,RUN_RIGHT,RUN,620.000,270.000,true,false,1,1.00000,0.00000,3.14159,1,100,653.000,270.000
3,SCOUT,RUN_RIGHT,RUN,622.600,270.000,true,false,1,1.00000,0.00000,3.55000,1,100,655.600,270.000
3,WARDEN,RUN_RIGHT,RUN,617.400,270.000,true,false,1,1.00000,0.00000,2.73319,1,100,650.400,270.000
3,ENGINEER,RUN_RIGHT,RUN,619.200,270.000,true,false,1,1.00000,0.00000,3.01593,1,100,652.200,270.000
4,REPAIR,RUN_RIGHT,RUN,625.000,270.000,true,false,1,1.00000,0.00000,3.92699,1,100,658.000,270.000
4,SCOUT,RUN_RIGHT,RUN,628.250,270.000,true,false,1,1.00000,0.00000,4.43750,1,100,661.250,270.000
4,WARDEN,RUN_RIGHT,RUN,621.750,270.000,true,false,1,1.00000,0.00000,3.41648,1,100,654.750,270.000
4,ENGINEER,RUN_RIGHT,RUN,624.000,270.000,true,false,1,1.00000,0.00000,3.76991,1,100,657.000,270.000
