case,width,height,draw_width,draw_height,index,simulation_publish_ms,edt_dispatch_ms,edt_paint_ms,published,enemies,player_bullets,enemy_bullets,particles
world1_normal_960,960,600,960,600,0,7.317200,0.130100,1.351200,true,6,32,12,120
world1_normal_960,960,600,960,600,1,6.837300,0.109600,1.484100,true,6,32,12,120
world1_normal_960,960,600,960,600,2,7.087200,0.224200,1.431000,true,6,32,12,120
world1_normal_960,960,600,960,600,3,7.083800,0.105100,1.308100,true,6,32,12,120
world1_normal_960,960,600,960,600,4,7.241200,0.117700,1.335700,true,6,32,12,120
world1_normal_960,960,600,960,600,5,7.150000,0.150400,1.314200,true,6,32,12,120
world1_normal_960,960,600,960,600,6,6.640100,0.114000,1.415000,true,6,32,12,120
world1_normal_960,960,600,960,600,7,6.466500,0.124000,1.704900,true,6,32,12,120
world1_normal_960,960,600,960,600,8,6.689300,0.115900,1.458000,true,6,32,12,120
world1_normal_960,960,600,960,600,9,7.144700,0.115600,2.416500,true,6,32,12,120
world1_normal_960,960,600,960,600,10,6.884200,0.110700,1.384100,true,6,32,12,120
world1_normal_960,960,600,960,600,11,6.934300,0.113600,1.734400,true,6,32,12,120
world1_normal_960,960,600,960,600,12,6.716300,0.098900,1.301900,true,6,32,12,120
world1_normal_960,960,600,960,600,13,6.539200,0.104900,1.343300,true,6,32,12,120
world1_normal_960,960,600,960,600,14,6.479000,0.100100,1.273300,true,6,32,12,120
world1_normal_960,960,600,960,600,15,6.370500,0.154900,1.375400,true,6,32,12,120
world1_normal_960,960,600,960,600,16,6.439100,0.114000,1.365400,true,6,32,12,120
world1_normal_960,960,600,960,600,17,6.700600,0.142200,1.338200,true,6,32,12,120
world1_normal_960,960,600,960,600,18,7.422600,0.107100,1.520800,true,6,32,12,120
world1_normal_960,960,600,960,600,19,6.653000,0.144100,1.709700,true,6,32,12,120
world1_normal_960,960,600,960,600,20,6.556700,0.103700,1.258100,true,6,32,12,120
world1_normal_960,960,600,960,600,21,6.653000,0.103300,1.521200,true,6,32,12,120
world1_normal_960,960,600,960,600,22,8.647500,0.098300,1.287700,true,6,32,12,120
world1_normal_960,960,600,960,600,23,6.714800,0.102200,1.477200,true,7,32,12,120
world1_normal_960,960,600,960,600,24,6.373900,0.107100,1.394100,true,6,32,12,120
world1_normal_960,960,600,960,600,25,6.843500,0.098100,1.451000,true,6,32,12,120
world1_normal_960,960,600,960,600,26,6.888200,0.115300,1.395300,true,6,32,12,120
world1_normal_960,960,600,960,600,27,6.865500,0.128400,1.347400,true,6,32,12,120
world1_normal_960,960,600,960,600,28,6.420500,0.109800,1.239800,true,6,32,12,120
world1_normal_960,960,600,960,600,29,7.041000,0.118400,1.271200,true,6,32,12,120
world1_normal_960,960,600,960,600,30,7.550600,0.104100,1.377900,true,6,32,12,120
world1_normal_960,960,600,960,600,31,6.898700,0.114300,1.496400,true,6,32,12,120
world1_normal_960,960,600,960,600,32,6.715400,0.115200,1.402100,true,6,32,12,120
world1_normal_960,960,600,960,600,33,7.062600,0.123800,1.481800,true,6,32,12,120
world1_normal_960,960,600,960,600,34,6.851600,0.109800,1.385000,true,6,32,12,120
world1_normal_960,960,600,960,600,35,6.493100,0.099100,1.329800,true,6,32,12,120
world1_normal_960,960,600,960,600,36,7.354400,0.108200,1.431300,true,6,32,12,120
world1_normal_960,960,600,960,600,37,7.161100,0.147600,1.466500,true,6,32,12,120
world1_normal_960,960,600,960,600,38,6.921700,0.120200,1.568500,true,6,32,12,120
world1_normal_960,960,600,960,600,39,6.863100,0.111000,1.271500,true,6,32,12,120
world1_normal_960,960,600,960,600,40,6.642600,0.091300,1.279500,true,6,32,12,120
world1_normal_960,960,600,960,600,41,6.581200,0.125900,1.295100,true,6,32,12,120
world1_normal_960,960,600,960,600,42,6.763700,0.122800,1.275700,true,6,32,12,120
world1_normal_960,960,600,960,600,43,6.797500,0.096700,1.241500,true,6,32,12,120
world1_normal_960,960,600,960,600,44,7.369800,0.110700,1.491100,true,6,32,12,120
world1_normal_960,960,600,960,600,45,6.339400,0.105500,1.448000,true,6,32,12,120
world1_normal_960,960,600,960,600,46,6.637800,0.099700,1.454800,true,6,32,12,120
world1_normal_960,960,600,960,600,47,6.331600,0.100000,1.290400,true,6,32,12,120
world1_normal_960,960,600,960,600,48,6.402600,0.125800,1.330800,true,6,32,12,120
world1_normal_960,960,600,960,600,49,6.236400,0.100100,1.465700,true,6,32,12,120
world1_normal_960,960,600,960,600,50,6.584400,0.128500,1.344800,true,6,32,12,120
world1_normal_960,960,600,960,600,51,6.099900,0.111500,1.543100,true,6,32,12,120
world1_normal_960,960,600,960,600,52,9.644100,0.110100,1.364000,true,6,32,13,120
world1_normal_960,960,600,960,600,53,6.769800,0.105000,1.439300,true,6,32,12,120
world1_normal_960,960,600,960,600,54,6.755900,0.121600,1.440300,true,6,32,12,120
world1_normal_960,960,600,960,600,55,6.388900,0.108500,1.235600,true,6,32,12,120
world1_normal_960,960,600,960,600,56,6.490500,0.109900,1.515900,true,6,32,13,120
world1_normal_960,960,600,960,600,57,6.550100,0.108200,1.288500,true,6,32,12,120
world1_normal_960,960,600,960,600,58,7.092000,0.113900,1.424800,true,6,32,12,120
world1_normal_960,960,600,960,600,59,6.444700,0.099600,1.340600,true,6,32,12,120
world1_normal_960,960,600,960,600,60,6.336300,0.238100,1.354600,true,6,32,12,120
world1_normal_960,960,600,960,600,61,7.209400,0.148500,1.336800,true,6,32,12,120
world1_normal_960,960,600,960,600,62,8.032000,0.168500,1.453100,true,6,32,12,120
world1_normal_960,960,600,960,600,63,7.195300,0.141600,1.328700,true,6,32,12,120
world1_normal_960,960,600,960,600,64,8.234500,0.110900,1.756900,true,6,32,12,120
