tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,9900.0,450.0,0.0,100,3,3,10207.0,298.0,3800,1,ARRIVAL,0,0,0,0,0,left-arm:380:10207:360:58:108|right-arm:380:10429:360:58:108|core:3800:10317:332:64:68,entry,arrival
0,BOSS_FIGHT,9905.0,450.0,-13.0,100,3,3,10207.0,298.0,3800,1,READY,0,0,0,0,0,left-arm:380:10207:360:58:108|right-arm:380:10429:360:58:108|core:3800:10317:332:64:68,left-arm,aim:left-arm:jump
53,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3765,1,LEFT_STAMP,72,0,0,0,0,left-arm:305:10207:360:58:108|right-arm:380:10429:360:58:108|core:3765:10317:332:64:68,left-arm,aim:left-arm
120,BOSS_FIGHT,9915.0,297.2,-6.4,100,3,3,10207.0,298.0,3758,1,LEFT_STAMP,6,0,0,0,0,left-arm:280:10049:281:58:108|right-arm:380:10429:360:58:108|core:3758:10317:332:64:68,left-arm,aim:left-arm
145,BOSS_FIGHT,9905.0,323.6,8.0,100,3,3,10207.0,298.0,3751,1,READY,0,0,0,0,0,left-arm:255:10207:360:58:108|right-arm:380:10429:360:58:108|core:3751:10317:332:64:68,left-arm,aim:left-arm
209,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3730,1,CROSSBEAM,78,0,0,0,0,left-arm:180:10207:360:58:108|right-arm:380:10429:360:58:108|core:3730:10317:332:64:68,left-arm,aim:left-arm
240,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3716,1,CROSSBEAM,49,0,0,0,0,left-arm:130:10207:360:58:108|right-arm:380:10429:360:58:108|core:3716:10317:332:64:68,left-arm,aim:left-arm
319,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3688,1,READY,0,0,0,0,0,left-arm:30:10207:360:58:108|right-arm:380:10429:360:58:108|core:3688:10317:332:64:68,left-arm,aim:left-arm
360,BOSS_FIGHT,10090.0,360.0,0.0,100,3,3,10207.0,298.0,3674,1,READY,0,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:380:10429:360:58:108|core:3674:10317:332:64:68,right-arm,aim:right-arm
386,BOSS_FIGHT,10215.0,360.0,0.0,100,3,3,10207.0,298.0,3644,1,RIGHT_STAMP,72,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:380:10429:360:58:108|core:3644:10317:332:64:68,right-arm,aim:right-arm
480,BOSS_FIGHT,10290.0,264.8,2.6,100,3,3,10207.0,298.0,3567,1,RIGHT_STAMP,0,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:205:10206:372:58:108|core:3567:10317:332:64:68,right-arm,aim:right-arm
482,BOSS_FIGHT,10290.0,271.8,3.8,100,3,3,10207.0,298.0,3567,1,READY,0,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:205:10429:360:58:108|core:3567:10317:332:64:68,right-arm,aim:right-arm
488,BOSS_FIGHT,10272.0,307.2,7.4,82,3,3,10207.0,298.0,3567,1,READY,0,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:205:10429:360:58:108|core:3567:10317:332:64:68,right-arm,damage:aim:right-arm
546,BOSS_FIGHT,10277.0,433.6,11.6,82,3,3,10207.0,298.0,3530,1,GIRDER_FALL,85,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:180:10429:360:58:108|core:3530:10317:332:64:68,right-arm,aim:right-arm
600,BOSS_FIGHT,10337.0,404.0,-10.6,82,3,3,10207.0,298.0,3493,1,GIRDER_FALL,34,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:155:10429:360:58:108|core:3493:10317:332:64:68,right-arm,evade:GIRDER_FALL
