tick,x,y,hp,lives,bombs,state,battle,wave,alive,kills,brokenProps,target,reason,worldTick,keyLeft,keyRight,hitstop,ctxHitstop,camera,sessionState
0,105.0,450.0,100,3,3,RUNNING,false,0,0,0,0,route,advance,2,false,true,0,0,0.0,RUNNING
51,360.0,450.0,100,3,3,RUNNING,false,0,1,0,1,DRILLER,engage:DRILLER,53,false,true,0,0,46.40376553183921,RUNNING
120,615.0,450.0,100,3,3,RUNNING,false,0,2,0,1,DRILLER,engage:DRILLER,122,false,false,0,0,325.4800553032889,RUNNING
171,615.0,450.0,100,3,3,RUNNING,false,0,1,1,1,DRILLER,engage:DRILLER,173,false,false,4,0,326.9996178859578,RUNNING
205,765.0,334.0,100,3,3,RUNNING,false,0,0,2,1,INTERRUPT,engage:INTERRUPT,203,false,true,4,0,448.88286860603193,RUNNING
240,937.8,450.0,100,3,3,RUNNING,false,0,0,2,1,route,advance,234,false,true,0,0,615.9435938525747,RUNNING
360,1370.1,450.0,100,3,3,RUNNING,false,0,1,2,1,SLAG_SPITTER,engage:SLAG_SPITTER,354,false,false,0,0,1082.0999219128926,RUNNING
427,1525.1,450.0,100,3,3,RUNNING,false,0,1,3,1,SLAG_SPITTER,engage:SLAG_SPITTER,421,false,false,4,0,1236.665888298549,RUNNING
465,1695.1,357.6,100,3,3,RUNNING,false,0,0,4,1,INTERRUPT,double-jump,455,false,true,4,0,1378.927598588178,RUNNING
480,1750.1,254.2,100,3,3,RUNNING,true,0,0,4,1,route,advance,466,false,true,0,0,1433.8352303742395,RUNNING
600,2140.1,450.0,100,3,3,RUNNING,true,1,2,4,1,DRILLER,engage:DRILLER,586,false,false,0,0,1699.9997804648883,RUNNING
720,2225.1,375.8,100,3,3,RUNNING,true,1,2,4,1,DRILLER,engage:DRILLER,706,false,false,0,0,1699.9999999999993,RUNNING
840,2225.1,199.8,100,3,3,RUNNING,true,1,2,4,1,DRILLER,engage:DRILLER,826,false,false,0,0,1699.9999999999993,RUNNING
863,2225.1,450.0,100,3,3,RUNNING,true,1,1,5,1,DRILLER,engage:DRILLER,849,false,false,4,0,1699.9999999999993,RUNNING
868,2230.1,450.0,100,3,3,RUNNING,true,1,0,6,1,DRILLER,engage:DRILLER,850,false,true,4,0,1699.9999999999993,RUNNING
