tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,9900.0,450.0,0.0,100,3,3,10207.0,298.0,3800,1,ARRIVAL,0,0,0,0,0,left-arm:380:10207:360:58:108|right-arm:380:10429:360:58:108|core:3800:10317:332:64:68,entry,arrival
0,BOSS_FIGHT,9905.0,450.0,-13.0,100,3,3,10207.0,298.0,3800,1,READY,0,0,0,0,0,left-arm:380:10207:360:58:108|right-arm:380:10429:360:58:108|core:3800:10317:332:64:68,left-arm,aim:left-arm:jump
53,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3762,1,LEFT_STAMP,72,0,0,0,0,left-arm:295:10207:360:58:108|right-arm:380:10429:360:58:108|core:3762:10317:332:64:68,left-arm,aim:left-arm
120,BOSS_FIGHT,9915.0,297.2,-6.4,100,3,3,10207.0,298.0,3743,1,LEFT_STAMP,6,0,0,0,0,left-arm:250:10049:281:58:108|right-arm:380:10429:360:58:108|core:3743:10317:332:64:68,left-arm,aim:left-arm
145,BOSS_FIGHT,9905.0,323.6,8.0,100,3,3,10207.0,298.0,3736,1,READY,0,0,0,0,0,left-arm:225:10207:360:58:108|right-arm:380:10429:360:58:108|core:3736:10317:332:64:68,left-arm,aim:left-arm
209,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3706,1,CROSSBEAM,78,0,0,0,0,left-arm:140:10207:360:58:108|right-arm:380:10429:360:58:108|core:3706:10317:332:64:68,left-arm,aim:left-arm
240,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3689,1,CROSSBEAM,49,0,0,0,0,left-arm:80:10207:360:58:108|right-arm:380:10429:360:58:108|core:3689:10317:332:64:68,left-arm,aim:left-arm
293,BOSS_FIGHT,10055.0,360.0,0.0,100,3,3,10207.0,298.0,3656,1,READY,0,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:380:10429:360:58:108|core:3656:10317:332:64:68,left-arm,aim:left-arm
354,BOSS_FIGHT,10275.0,414.6,7.8,100,3,3,10207.0,298.0,3584,1,RIGHT_STAMP,72,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:380:10429:360:58:108|core:3584:10317:332:64:68,right-arm,aim:right-arm
360,BOSS_FIGHT,10245.0,437.6,-12.4,100,3,3,10207.0,298.0,3584,1,RIGHT_STAMP,66,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:380:10425:358:58:108|core:3584:10317:332:64:68,right-arm,evade:RIGHT_STAMP
445,BOSS_FIGHT,10125.0,360.0,0.0,100,3,3,10207.0,298.0,3560,1,READY,0,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:370:10429:360:58:108|core:3560:10317:332:64:68,right-arm,aim:right-arm
480,BOSS_FIGHT,10275.0,372.6,3.6,100,3,3,10207.0,298.0,3509,1,READY,0,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:370:10429:360:58:108|core:3509:10317:332:64:68,right-arm,aim:right-arm
510,BOSS_FIGHT,10275.0,320.8,-2.8,100,3,3,10207.0,298.0,3496,1,GIRDER_FALL,85,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:345:10429:360:58:108|core:3496:10317:332:64:68,right-arm,aim:right-arm
600,BOSS_FIGHT,10325.0,335.6,-5.2,100,3,3,10207.0,298.0,3413,1,GIRDER_FALL,1,0,0,0,0,left-arm:0:10207:360:58:108|right-arm:285:10429:360:58:108|core:3413:10317:332:64:68,right-arm,evade:GIRDER_FALL
