tick,state,x,y,vy,hp,lives,bombs,bossX,bossY,bossHp,stage,action,warning,exposure,heat,hostiles,bullets,parts,target,reason
0,BOSS_FIGHT,9900.0,450.0,0.0,100,3,3,10247.0,320.0,4900,1,ARRIVAL,0,0,0,0,0,armor-plate:700:10249:367:62:91|heat-vent:100:10425:406:54:63|core:4900:10321:382:96:82,entry,arrival
0,BOSS_FIGHT,9905.0,450.0,-13.0,100,3,3,10247.0,320.0,4900,1,READY,0,0,0,0,0,armor-plate:700:10249:367:62:91|heat-vent:100:10425:406:54:63|core:4900:10321:382:96:82,armor-plate,aim:armor-plate:jump
53,BOSS_FIGHT,10100.0,360.0,0.0,100,3,3,10247.0,320.0,4844,1,DRILL_CHARGE,80,0,0,0,0,armor-plate:630:10249:367:62:91|heat-vent:100:10425:406:54:63|core:4844:10321:382:96:82,armor-plate,aim:armor-plate
120,BOSS_FIGHT,9855.0,433.6,11.6,100,3,3,10247.0,320.0,4840,1,DRILL_CHARGE,13,0,0,0,0,armor-plate:620:10249:367:62:91|heat-vent:100:10425:406:54:63|core:4840:10321:382:96:82,armor-plate,evade:DRILL_CHARGE
160,BOSS_FIGHT,9820.0,373.0,8.0,100,3,3,9882.0,320.0,4805,1,COOLING,0,0,0,0,0,armor-plate:525:9884:367:62:91|heat-vent:100:10060:406:54:63|core:4805:9956:382:96:82,armor-plate,aim:armor-plate
240,BOSS_FIGHT,9750.0,334.0,4.4,100,3,3,9882.0,320.0,4797,1,COOLING,0,0,0,0,0,armor-plate:505:9884:367:62:91|heat-vent:100:10060:406:54:63|core:4797:9956:382:96:82,armor-plate,aim:armor-plate
275,BOSS_FIGHT,9745.0,315.6,-0.4,100,3,3,9882.0,320.0,4793,1,MAGMA_MORTAR,100,0,0,0,0,armor-plate:495:9884:367:62:91|heat-vent:100:10060:406:54:63|core:4793:9956:382:96:82,armor-plate,aim:armor-plate
360,BOSS_FIGHT,9925.0,323.6,-3.4,100,3,3,9882.0,320.0,4702,1,MAGMA_MORTAR,19,0,0,0,0,armor-plate:260:9884:367:62:91|heat-vent:100:10060:406:54:63|core:4702:9956:382:96:82,armor-plate,evade:MAGMA_MORTAR
381,BOSS_FIGHT,9907.0,373.0,8.0,82,3,3,9882.0,320.0,4678,1,MAGMA_MORTAR,0,0,0,0,3,armor-plate:210:9884:367:62:91|heat-vent:100:10060:406:54:63|core:4678:9956:382:96:82,armor-plate,damage:evade:MAGMA_MORTAR
440,BOSS_FIGHT,9927.0,384.6,-9.4,82,3,3,9882.0,320.0,4618,1,COOLING,0,0,0,0,0,armor-plate:60:9884:367:62:91|heat-vent:100:10060:406:54:63|core:4618:9956:382:96:82,armor-plate,evade:MAGMA_MORTAR
