tick,x,y,hp,lives,bombs,state,battle,wave,alive,kills,brokenProps,target,reason,worldTick,keyLeft,keyRight,hitstop,ctxHitstop,camera,sessionState
0,105.0,450.0,100,3,3,RUNNING,false,0,0,0,0,route,advance,2,false,true,0,0,0.0,RUNNING
79,500.0,450.0,100,3,3,RUNNING,false,0,0,1,0,SENTINEL,engage:SENTINEL,81,false,true,4,0,183.69557482365946,RUNNING
120,660.0,381.6,100,3,3,RUNNING,false,0,1,1,0,WARDEN,engage:WARDEN,118,false,true,0,0,343.9378038071103,RUNNING
240,1150.0,351.8,100,3,3,RUNNING,false,0,3,1,0,WARDEN,engage:WARDEN,238,false,false,0,0,861.7821338994731,RUNNING
360,1145.0,175.8,100,3,3,RUNNING,false,0,3,1,0,WARDEN,engage:WARDEN,358,false,false,0,0,857.0000000614755,RUNNING
371,1145.0,263.8,85,3,3,RUNNING,false,0,3,1,0,WARDEN,damage:engage:WARDEN,369,false,false,0,0,857.0000000102874,RUNNING
418,1145.0,188.4,85,3,3,RUNNING,false,0,2,2,0,WARDEN,engage:WARDEN,416,false,false,4,0,857.0000000000049,RUNNING
450,1285.0,252.8,85,3,3,RUNNING,true,0,1,3,0,RIGGER,engage:RIGGER,444,false,true,4,0,968.9659121409723,RUNNING
463,1330.0,373.4,70,3,3,RUNNING,true,0,1,3,0,SENTINEL,damage:engage:SENTINEL,453,false,true,0,0,1013.7359769896143,RUNNING
480,1415.0,450.0,70,3,3,RUNNING,true,0,1,3,0,SENTINEL,engage:SENTINEL,470,false,true,0,0,1098.671041078418,RUNNING
481,1420.0,450.0,70,3,3,RUNNING,true,0,0,4,0,SENTINEL,engage:SENTINEL,471,false,true,4,0,1103.6703849166554,RUNNING
556,1775.0,450.0,70,3,3,RUNNING,true,1,1,5,0,SENTINEL,engage:SENTINEL,542,false,true,4,0,1249.987173333399,RUNNING
561,1780.0,450.0,70,3,3,RUNNING,true,1,0,6,0,SENTINEL,engage:SENTINEL,543,false,true,4,0,1249.989097333389,RUNNING
600,1955.0,450.0,70,3,3,RUNNING,true,1,0,6,0,route,advance,578,false,true,0,0,1249.999963085658,RUNNING
720,1990.0,450.0,70,3,3,RUNNING,true,2,1,6,0,WARDEN,engage:WARDEN,698,false,false,0,0,1249.9999999999993,RUNNING
840,2005.0,303.4,70,3,3,RUNNING,true,2,1,6,0,WARDEN,engage:WARDEN,818,false,false,0,0,1249.9999999999993,RUNNING
960,2005.0,351.8,70,3,3,RUNNING,true,2,1,6,0,WARDEN,engage:WARDEN,938,false,false,0,0,1249.9999999999993,RUNNING
963,2005.0,397.4,70,3,3,RUNNING,true,2,0,7,0,WARDEN,engage:WARDEN,941,false,false,4,0,1249.9999999999993,RUNNING
1028,2180.0,317.0,70,3,3,UPGRADE_SELECTION,true,3,0,9,0,RIGGER,engage:RIGGER,1002,false,false,4,0,1249.9999999999993,UPGRADE_SELECTION
1029,2180.0,317.0,70,3,3,RUNNING,true,3,0,9,0,RIGGER,upgrade:DRONE_COPILOT,1002,false,false,3,0,1249.9999999999993,RUNNING
1030,2180.0,317.0,70,3,3,RUNNING,true,3,0,9,0,route,advance,1002,false,true,2,0,1249.9999999999993,RUNNING
1080,2210.0,360.0,70,3,3,RUNNING,false,0,0,9,0,route,advance,1050,false,true,0,0,1698.5420789328116,RUNNING
1133,2475.0,255.0,70,3,3,RUNNING,false,0,1,9,1,RIGGER,engage:RIGGER,1103,false,true,0,0,2158.6312249245393,RUNNING
