tick,x,y,hp,lives,bombs,state,battle,wave,alive,kills,brokenProps,target,reason,worldTick,keyLeft,keyRight,hitstop,ctxHitstop,camera,sessionState
0,105.0,450.0,100,3,3,RUNNING,false,0,0,0,0,route,advance,2,false,true,0,0,0.0,RUNNING
49,350.0,450.0,100,3,3,RUNNING,false,0,1,0,1,LURKER,engage:LURKER,51,false,true,0,0,37.45503879839338,RUNNING
120,605.0,450.0,100,3,3,RUNNING,false,0,1,0,1,LURKER,engage:LURKER,122,false,false,0,0,315.9018502003851,RUNNING
127,605.0,450.0,100,3,3,RUNNING,false,0,0,1,1,LURKER,engage:LURKER,129,false,false,4,0,316.64795833474284,RUNNING
240,1190.0,313.4,100,3,3,RUNNING,false,0,2,1,1,MIRROR,engage:MIRROR,238,false,true,0,0,858.7739420232522,RUNNING
360,1305.0,81.8,100,3,3,RUNNING,false,0,2,1,1,MIRROR,engage:MIRROR,358,false,false,0,0,1015.661720719294,RUNNING
480,1390.0,130.8,100,3,3,RUNNING,false,0,2,1,1,MIRROR,engage:MIRROR,478,false,false,0,0,1092.6056803980412,RUNNING
600,1455.0,20.8,100,3,3,RUNNING,false,0,3,1,1,MIRROR,engage:MIRROR,598,false,false,0,0,1159.6063135521756,RUNNING
602,1460.0,37.4,85,3,3,RUNNING,false,0,3,1,1,MIRROR,damage:engage:MIRROR,600,false,true,0,0,1162.4080615414468,RUNNING
720,1540.0,323.6,85,3,3,RUNNING,false,0,3,1,1,MIRROR,engage:MIRROR,718,false,false,0,0,1247.5282568710077,RUNNING
768,1676.0,311.6,85,3,3,RUNNING,false,0,3,1,2,MIRROR,engage:MIRROR,766,false,false,0,0,1315.293294031303,RUNNING
772,1676.0,366.4,59,3,3,RUNNING,false,0,3,1,2,MIRROR,damage:engage:MIRROR,770,false,false,0,0,1350.0466450674278,RUNNING
786,1676.0,384.6,59,3,3,RUNNING,false,0,2,2,2,MIRROR,engage:MIRROR,784,false,false,4,0,1384.099546255991,RUNNING
840,1621.0,230.8,59,3,3,RUNNING,false,0,2,2,2,LURKER,engage:LURKER,834,false,false,0,0,1333.0559901013312,RUNNING
945,1616.0,360.0,59,3,3,RUNNING,false,0,1,3,2,LURKER,engage:LURKER,939,false,false,4,0,1328.0000095940366,RUNNING
960,1636.0,316.0,59,3,3,RUNNING,false,0,1,3,2,SPORE_POD,engage:SPORE_POD,950,false,false,0,0,1343.6583760087342,RUNNING
965,1636.0,320.0,59,3,3,RUNNING,false,0,0,4,2,SPORE_POD,engage:SPORE_POD,955,false,false,4,0,1346.0735983701977,RUNNING
1080,2021.0,450.0,59,3,3,RUNNING,true,0,1,4,2,MIRROR,engage:MIRROR,1066,false,false,0,0,1732.8871401008744,RUNNING
1164,2196.0,450.0,59,3,3,RUNNING,true,0,2,4,3,MIRROR,engage:MIRROR,1150,false,false,0,0,1849.996107658581,RUNNING
1200,2246.0,335.6,59,3,3,RUNNING,true,0,2,4,3,LURKER,engage:LURKER,1186,false,true,0,0,1849.9999887980855,RUNNING
1224,2261.0,192.8,59,3,3,RUNNING,true,0,1,5,3,LURKER,engage:LURKER,1210,true,false,4,0,1849.9999997733546,RUNNING
1320,2261.0,210.4,59,3,3,RUNNING,true,0,1,5,3,LURKER,engage:LURKER,1302,false,false,0,0,1849.9999999999993,RUNNING
1338,2261.0,413.8,59,3,3,RUNNING,true,0,0,6,3,LURKER,engage:LURKER,1320,false,false,4,0,1849.9999999999993,RUNNING
1416,2546.0,450.0,59,3,3,UPGRADE_SELECTION,true,1,1,7,3,LURKER,engage:LURKER,1394,false,false,4,0,1849.9999999999993,UPGRADE_SELECTION
1417,2546.0,450.0,59,3,3,RUNNING,true,1,1,7,3,LURKER,upgrade:SHIELD_REBOOT,1394,false,false,3,0,1849.9999999999993,RUNNING
1418,2546.0,450.0,59,3,3,RUNNING,true,1,1,7,3,LURKER,engage:LURKER,1394,false,false,2,0,1849.9999999999993,RUNNING
1421,2546.0,450.0,59,3,3,RUNNING,true,1,0,8,3,LURKER,engage:LURKER,1395,false,false,4,0,1849.9999999999993,RUNNING
1440,2621.0,450.0,59,3,3,RUNNING,true,1,0,8,3,route,advance,1410,false,true,0,0,1849.9999999999993,RUNNING
