scene,state,tick,platforms,scans,support_hp,support_state,boss_expose,hp,bombs,score
en-blueprint-route-960,RUNNING,7,3,0,120,ONLINE,0,100,3,0
en-blueprint-route-600,RUNNING,9,3,0,120,ONLINE,0,100,3,0
en-blueprint-warning-960,RUNNING,188,3,1,120,ONLINE,0,100,3,0
en-blueprint-warning-600,RUNNING,189,3,1,120,ONLINE,0,100,3,0
en-blueprint-overload-960,RUNNING,208,3,1,120,OVERLOADING,0,100,3,0
en-blueprint-overload-600,RUNNING,209,3,1,120,OVERLOADING,0,100,3,0
en-blueprint-collapse-960,RUNNING,251,3,0,0,COLLAPSING,0,100,3,350
en-blueprint-collapse-600,RUNNING,252,3,0,0,COLLAPSING,0,100,3,350
en-blueprint-cleared-960,RUNNING,313,2,0,0,DISABLED,0,100,3,350
en-blueprint-cleared-600,RUNNING,314,2,0,0,DISABLED,0,100,3,350
en-blueprint-pause-960,PAUSED,314,2,0,0,DISABLED,0,100,3,350
en-blueprint-pause-600,PAUSED,314,2,0,0,DISABLED,0,100,3,350
en-blueprint-arrival-960,BOSS_WARNING,2,3,0,120,ONLINE,0,100,3,0
en-blueprint-arrival-600,BOSS_WARNING,2,3,0,120,ONLINE,0,100,3,0
en-blueprint-boss-960,BOSS_FIGHT,8,2,0,160,ONLINE,0,100,3,0
en-blueprint-boss-600,BOSS_FIGHT,9,2,0,160,ONLINE,0,100,3,0
en-blueprint-exposed-960,BOSS_FIGHT,118,2,0,0,COLLAPSING,150,100,3,0
en-blueprint-exposed-600,BOSS_FIGHT,118,2,0,0,COLLAPSING,150,100,3,0
zh-CN-blueprint-route-960,RUNNING,7,3,0,120,ONLINE,0,100,3,0
zh-CN-blueprint-route-600,RUNNING,9,3,0,120,ONLINE,0,100,3,0
zh-CN-blueprint-warning-960,RUNNING,188,3,1,120,ONLINE,0,100,3,0
zh-CN-blueprint-warning-600,RUNNING,189,3,1,120,ONLINE,0,100,3,0
zh-CN-blueprint-overload-960,RUNNING,208,3,1,120,OVERLOADING,0,100,3,0
zh-CN-blueprint-overload-600,RUNNING,209,3,1,120,OVERLOADING,0,100,3,0
zh-CN-blueprint-collapse-960,RUNNING,251,3,0,0,COLLAPSING,0,100,3,350
zh-CN-blueprint-collapse-600,RUNNING,252,3,0,0,COLLAPSING,0,100,3,350
zh-CN-blueprint-cleared-960,RUNNING,313,2,0,0,DISABLED,0,100,3,350
zh-CN-blueprint-cleared-600,RUNNING,314,2,0,0,DISABLED,0,100,3,350
zh-CN-blueprint-pause-960,PAUSED,314,2,0,0,DISABLED,0,100,3,350
zh-CN-blueprint-pause-600,PAUSED,314,2,0,0,DISABLED,0,100,3,350
zh-CN-blueprint-arrival-960,BOSS_WARNING,2,3,0,120,ONLINE,0,100,3,0
zh-CN-blueprint-arrival-600,BOSS_WARNING,2,3,0,120,ONLINE,0,100,3,0
zh-CN-blueprint-boss-960,BOSS_FIGHT,8,2,0,160,ONLINE,0,100,3,0
zh-CN-blueprint-boss-600,BOSS_FIGHT,9,2,0,160,ONLINE,0,100,3,0
zh-CN-blueprint-exposed-960,BOSS_FIGHT,100,2,0,0,COLLAPSING,150,100,3,0
zh-CN-blueprint-exposed-600,BOSS_FIGHT,100,2,0,0,COLLAPSING,150,100,3,0
