capture,state,world_tick,water_tick,player_x,player_y,feet,grounded,ripples,droplets,props,bombs,hp,right_held,left_held,shoot_held,dashing,boss_arrival_ticks
en-water-walk-960,RUNNING,21,19,400.00,450.00,480.00,true,3,19,4,3,100,true,false,false,false,0
en-water-walk-600,RUNNING,22,20,405.00,450.00,480.00,true,4,26,4,3,100,true,false,false,false,0
en-water-dash-960,RUNNING,27,25,445.00,450.00,480.00,true,5,26,4,3,100,false,false,false,true,0
en-water-dash-600,RUNNING,28,26,455.00,450.00,480.00,true,5,24,4,3,100,false,false,false,true,0
en-water-landing-960,RUNNING,81,79,410.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
en-water-landing-600,RUNNING,82,80,410.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
en-capacitor-before-960,RUNNING,86,84,572.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
en-capacitor-before-600,RUNNING,87,85,572.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
en-capacitor-discharge-960,RUNNING,94,92,572.00,450.00,480.00,true,1,12,3,3,100,false,false,false,false,0
en-capacitor-discharge-600,RUNNING,95,93,572.00,450.00,480.00,true,1,12,3,3,100,false,false,false,false,0
en-supplies-before-960,RUNNING,97,95,1447.00,450.00,480.00,true,1,11,5,1,70,false,false,false,false,0
en-supplies-before-600,RUNNING,98,96,1447.00,450.00,480.00,true,1,9,5,1,70,false,false,false,false,0
en-supplies-after-960,RUNNING,112,110,1447.00,450.00,480.00,true,1,0,4,2,85,false,false,false,false,0
en-supplies-after-600,RUNNING,113,111,1447.00,450.00,480.00,true,1,0,4,2,85,false,false,false,false,0
en-heap-low-steps-960,RUNNING,35,34,1095.00,402.00,432.00,true,0,0,4,3,100,true,false,false,false,0
en-heap-low-steps-600,RUNNING,36,35,1100.00,402.00,432.00,true,0,0,4,3,100,true,false,false,false,0
en-heap-upper-route-960,RUNNING,79,78,1240.00,370.00,400.00,true,0,0,4,3,100,false,false,false,false,0
en-heap-upper-route-600,RUNNING,80,79,1240.00,370.00,400.00,true,0,0,4,3,100,false,false,false,false,0
en-boss-arrival-960,BOSS_WARNING,96,4,40.00,450.00,480.00,true,0,0,0,3,100,false,false,false,false,98
en-boss-arrival-600,BOSS_WARNING,97,4,40.00,450.00,480.00,true,0,0,0,3,100,false,false,false,false,97
zh-CN-water-walk-960,RUNNING,21,19,400.00,450.00,480.00,true,3,18,4,3,100,true,false,false,false,0
zh-CN-water-walk-600,RUNNING,22,20,405.00,450.00,480.00,true,4,25,4,3,100,true,false,false,false,0
zh-CN-water-dash-960,RUNNING,27,25,445.00,450.00,480.00,true,5,29,4,3,100,false,false,false,true,0
zh-CN-water-dash-600,RUNNING,28,26,455.00,450.00,480.00,true,5,27,4,3,100,false,false,false,true,0
zh-CN-water-landing-960,RUNNING,81,79,410.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
zh-CN-water-landing-600,RUNNING,82,80,410.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
zh-CN-capacitor-before-960,RUNNING,86,84,575.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
zh-CN-capacitor-before-600,RUNNING,87,85,575.00,450.00,480.00,true,1,12,4,3,100,false,false,false,false,0
zh-CN-capacitor-discharge-960,RUNNING,94,92,575.00,450.00,480.00,true,1,12,3,3,100,false,false,false,false,0
zh-CN-capacitor-discharge-600,RUNNING,95,93,575.00,450.00,480.00,true,1,12,3,3,100,false,false,false,false,0
zh-CN-supplies-before-960,RUNNING,97,95,1438.00,450.00,480.00,true,1,10,5,1,70,false,false,false,false,0
zh-CN-supplies-before-600,RUNNING,98,96,1438.00,450.00,480.00,true,1,10,5,1,70,false,false,false,false,0
zh-CN-supplies-after-960,RUNNING,112,110,1438.00,450.00,480.00,true,1,0,4,2,85,false,false,false,false,0
zh-CN-supplies-after-600,RUNNING,113,111,1438.00,450.00,480.00,true,1,0,4,2,85,false,false,false,false,0
zh-CN-heap-low-steps-960,RUNNING,35,34,1095.00,402.00,432.00,true,0,0,4,3,100,true,false,false,false,0
zh-CN-heap-low-steps-600,RUNNING,36,35,1100.00,402.00,432.00,true,0,0,4,3,100,true,false,false,false,0
zh-CN-heap-upper-route-960,RUNNING,79,78,1240.00,370.00,400.00,true,0,0,4,3,100,false,false,false,false,0
zh-CN-heap-upper-route-600,RUNNING,80,79,1240.00,370.00,400.00,true,0,0,4,3,100,false,false,false,false,0
zh-CN-boss-arrival-960,BOSS_WARNING,96,4,40.00,450.00,480.00,true,0,0,0,3,100,false,false,false,false,98
zh-CN-boss-arrival-600,BOSS_WARNING,97,4,40.00,450.00,480.00,true,0,0,0,3,100,false,false,false,false,97
