scene,state,tick,platforms,rail_count,rail_phase,rail_ticks,active_rails,station_id,station_state,station_ticks,boss_warning,boss_dash,controller_expose,boss_expose,hp,bombs,score
en-kernel-route-960,RUNNING,7,3,1,SAFE,113,0,1,READY,0,0,false,0,0,100,3,0
en-kernel-route-600,RUNNING,9,3,1,SAFE,111,0,1,READY,0,0,false,0,0,100,3,0
en-kernel-warning-960,RUNNING,180,3,1,WARNING,74,0,1,READY,0,0,false,0,0,100,3,0
en-kernel-warning-600,RUNNING,181,3,1,WARNING,73,0,1,READY,0,0,false,0,0,100,3,0
en-kernel-active-960,RUNNING,255,3,1,ACTIVE,89,1,1,READY,0,0,false,0,0,100,3,0
en-kernel-active-600,RUNNING,256,3,1,ACTIVE,88,1,1,READY,0,0,false,0,0,100,3,0
en-kernel-poweroff-960,RUNNING,258,3,1,SAFE,599,0,1,DISABLED,599,0,false,0,0,100,3,250
en-kernel-poweroff-600,RUNNING,259,3,1,SAFE,598,0,1,DISABLED,598,0,false,0,0,100,3,250
en-kernel-pause-960,PAUSED,259,3,1,SAFE,598,0,1,DISABLED,598,0,false,0,0,100,3,250
en-kernel-pause-600,PAUSED,259,3,1,SAFE,598,0,1,DISABLED,598,0,false,0,0,100,3,250
en-kernel-arrival-960,BOSS_WARNING,2,3,1,SAFE,118,0,1,READY,0,0,false,0,0,100,3,0
en-kernel-arrival-600,BOSS_WARNING,2,3,1,SAFE,118,0,1,READY,0,0,false,0,0,100,3,0
en-kernel-armed-960,BOSS_FIGHT,7,2,2,SAFE,116,0,102,ARMED,449,0,false,0,0,100,3,0
en-kernel-armed-600,BOSS_FIGHT,8,2,2,SAFE,115,0,102,ARMED,448,0,false,0,0,100,3,0
en-kernel-chargewarning-960,BOSS_FIGHT,59,2,2,SAFE,64,0,102,ARMED,397,59,false,0,0,100,3,0
en-kernel-chargewarning-600,BOSS_FIGHT,60,2,2,SAFE,63,0,102,ARMED,396,58,false,0,0,100,3,0
en-kernel-exposed-960,BOSS_FIGHT,128,2,2,SAFE,600,0,102,COOLDOWN,600,0,false,150,150,100,3,0
en-kernel-exposed-600,BOSS_FIGHT,128,2,2,SAFE,600,0,102,COOLDOWN,600,0,false,150,150,100,3,0
zh-CN-kernel-route-960,RUNNING,7,3,1,SAFE,113,0,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-route-600,RUNNING,9,3,1,SAFE,111,0,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-warning-960,RUNNING,180,3,1,WARNING,74,0,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-warning-600,RUNNING,181,3,1,WARNING,73,0,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-active-960,RUNNING,255,3,1,ACTIVE,89,1,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-active-600,RUNNING,256,3,1,ACTIVE,88,1,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-poweroff-960,RUNNING,258,3,1,SAFE,599,0,1,DISABLED,599,0,false,0,0,100,3,250
zh-CN-kernel-poweroff-600,RUNNING,259,3,1,SAFE,598,0,1,DISABLED,598,0,false,0,0,100,3,250
zh-CN-kernel-pause-960,PAUSED,259,3,1,SAFE,598,0,1,DISABLED,598,0,false,0,0,100,3,250
zh-CN-kernel-pause-600,PAUSED,259,3,1,SAFE,598,0,1,DISABLED,598,0,false,0,0,100,3,250
zh-CN-kernel-arrival-960,BOSS_WARNING,2,3,1,SAFE,118,0,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-arrival-600,BOSS_WARNING,2,3,1,SAFE,118,0,1,READY,0,0,false,0,0,100,3,0
zh-CN-kernel-armed-960,BOSS_FIGHT,7,2,2,SAFE,116,0,102,ARMED,449,0,false,0,0,100,3,0
zh-CN-kernel-armed-600,BOSS_FIGHT,8,2,2,SAFE,115,0,102,ARMED,448,0,false,0,0,100,3,0
zh-CN-kernel-chargewarning-960,BOSS_FIGHT,59,2,2,SAFE,64,0,102,ARMED,397,59,false,0,0,100,3,0
zh-CN-kernel-chargewarning-600,BOSS_FIGHT,60,2,2,SAFE,63,0,102,ARMED,396,58,false,0,0,100,3,0
zh-CN-kernel-exposed-960,BOSS_FIGHT,128,2,2,SAFE,600,0,102,COOLDOWN,600,0,false,150,150,100,3,0
zh-CN-kernel-exposed-600,BOSS_FIGHT,128,2,2,SAFE,600,0,102,COOLDOWN,600,0,false,150,150,100,3,0
